qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
264.0,125.5833,89,3.0,G#5,F5,F5,G#4,G#4,F4,G#3,F3,F4,F4,r,r,r,G#5,F5,G#4,C3,C2
265.0,126.0833,90,1.0,C6,G#5,G#5,C5,C5,G#4,C4,G#3,G4,G4,r,r,r,C6,G#5,C5,B-2,B-1
266.0,126.5833,90,2.0,B-5,G5,G5,B-4,B-4,G4,B-3,G3,G4,G4,r,r,r,B-5,G5,B-4,B-2,B-1
267.0,127.0833,90,3.0,G#5,F5,F5,G#4,G#4,F4,G#3,F3,G4,G4,r,r,r,G#5,F5,G#4,B-2,B-1
268.0,127.5833,91,1.0,G5,E5,E5,G4,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
270.0,128.5833,91,3.0,G5,E5,C#5,C#5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C#4,C3,C2
271.0,129.0833,92,1.0,G5,E5,C5,C5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C4,C3,C2
273.0,130.0833,92,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,C3,G#5,F5,C4,F2,F1
274.0,130.5833,93,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,C4,C3,C2
276.0,131.5833,93,3.0,G5,E5,C#5,C#5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C#4,C3,C2
277.0,132.0833,94,1.0,G5,E5,C5,C5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,C4,C3,C2
279.0,133.0833,94,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,C3,G#5,F5,G#4,F2,F1
280.0,133.5833,95,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
282.0,134.5833,95,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,r,G#5,F5,G#4,F2,F1
283.0,135.0833,96,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
285.0,136.0833,96,3.0,G#5,F5,C5,C5,G#4,F4,G#3,F3,G#4,G#4,C5,C4,r,G#5,F5,G#4,F2,F1
286.0,136.5833,97,1.0,G5,E5,C5,C5,G4,E4,G3,E3,G4,G4,C5,C4,C3,G5,E5,G4,C3,C2
289.0,138.0833,98,1.0,G5,E5,C5,C5,G4,E4,G3,E3,r,r,C5,C4,r,G5,E5,G4,C3,C2
290.0,138.5833,98,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-2
291.0,139.0833,98,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
292.0,139.5833,99,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
294.0,140.5833,99,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3
295.0,141.0833,100,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3
297.0,142.0833,100,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
298.0,142.5833,101,1.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,G3,G2
301.0,144.0833,102,1.0,G5,r,G4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,G4,r
302.0,144.5833,102,2.0,G5,r,G4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,G4,r
303.0,145.0833,102,3.0,B5,r,B4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,F4,r
304.0,145.5833,103,1.0,C6,r,C5,r,G4,r,G4,r,G3,G3,r,r,r,G5,r,r,E-4,r
306.0,146.5833,103,3.0,D6,r,D5,r,B4,r,F4,r,G3,G3,r,r,r,r,r,r,D4,r
307.0,147.0833,104,1.0,F6,r,F5,r,D5,r,E-4,r,G3,G3,r,r,r,r,G4,r,C4,r
308.0,147.5833,104,2.0,F6,r,F5,r,D5,r,E-4,r,G3,G3,r,r,r,r,G4,r,C4,r
309.0,148.0833,104,3.0,E-6,r,E-5,r,C5,r,G4,r,G3,G3,r,r,r,r,G4,r,E-4,r
310.0,148.5833,105,1.0,D6,r,D5,r,B4,r,G4,r,G3,G3,r,r,r,r,G4,r,G4,r
312.0,149.5833,105,3.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,G2,G1
313.0,150.0833,106,1.0,G5,r,G4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,G4,r
314.0,150.5833,106,2.0,G5,r,G4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,G4,r
315.0,151.0833,106,3.0,B5,r,B4,r,r,r,r,r,G3,G3,r,r,r,G5,r,r,F4,r
316.0,151.5833,107,1.0,C6,r,C5,r,G4,r,G4,r,G3,G3,r,r,r,G5,r,r,E-4,r
318.0,152.5833,107,3.0,E-6,r,E-5,r,C5,r,E-4,r,G3,G3,r,r,r,r,r,r,C4,r
319.0,153.0833,108,1.0,G6,r,G5,r,E-5,r,C4,r,G3,G3,r,r,r,r,G4,r,A3,r
320.0,153.5833,108,2.0,G6,r,G5,r,E-5,r,C4,r,G3,G3,r,r,r,r,G4,r,A3,r
321.0,154.0833,108,3.0,F6,r,F5,r,D5,r,D4,r,G3,G3,r,r,r,r,G4,r,B3,r
322.0,154.5833,109,1.0,E-6,r,E-5,r,C5,r,E-4,r,G3,G3,r,r,r,r,G4,r,C4,r
324.0,155.5833,109,3.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,G2,G1
325.0,156.0833,110,1.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,C5,C5,r,G#4,r
327.0,157.0833,110,3.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,E-5,C5,r,G4,r
328.0,157.5833,111,1.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,F5,D5,G#4,F4,r
330.0,158.5833,111,3.0,r,r,r,r,r,r,r,r,G3,G3,r,r,r,G5,E-5,G4,E-4,r
331.0,159.0833,112,1.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,r,G#5,F5,r,r,r
332.0,159.5833,112,2.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,r,G#5,F5,F4,D4,r
333.0,160.0833,112,3.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,r,G5,E-5,G4,E-4,r
334.0,160.5833,113,1.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,G2,G5,E-5,r,r,r
335.0,161.0833,113,2.0,r,r,r,r,r,r,G3,G3,G3,G3,r,r,G2,G5,E-5,G4,E-4,r
336.0,161.5833,113,3.0,r,r,r,r,r,r,G3,G3,G3,G3,r,r,G2,F5,D5,G#4,F4,r
337.0,162.0833,114,1.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,G2,G#5,F5,r,r,r
338.0,162.5833,114,2.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,r,G#5,F5,F4,D4,r
339.0,163.0833,114,3.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,r,G5,E-5,G4,E-4,r
340.0,163.5833,115,1.0,G#6,r,G#5,r,r,r,G3,G3,G3,G3,r,r,G2,G5,E-5,G4,E-4,r
341.0,164.0833,115,2.0,r,r,r,r,r,r,G3,G3,G3,G3,r,r,G2,F5,D5,G#4,F4,r
342.0,164.5833,115,3.0,F6,D6,F5,D5,r,r,G#3,G#3,G3,G3,r,r,G2,F5,F4,D4,G#3,r
343.0,165.0833,116,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,G2,F5,F4,D4,G3,r
344.0,165.5833,116,2.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,F5,F4,D4,G3,r
345.0,166.0833,116,3.0,F6,D6,F5,D5,F4,D4,B3,B3,r,r,r,r,r,G5,G4,D4,B3,r
346.0,166.5833,117,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,F5,r,r,C4,r
346.5,166.8333,117,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,r,r,C4,r
347.0,167.0833,117,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,D5,E-4,G3,C4,r
347.5,167.3333,117,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,E-4,G3,C4,r
348.0,167.5833,117,3.0,F6,C6,F5,C5,F4,C4,G#3,G#3,r,r,r,r,r,C5,F4,C4,G#3,r
349.0,168.0833,118,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,C5,r,r,G3,r
349.5,168.3333,118,1.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,B4,r,r,G3,r
350.0,168.5833,118,2.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,C5,F4,D4,G3,r
350.5,168.8333,118,2.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,D5,F4,D4,G3,r
351.0,169.0833,118,3.0,F6,D6,F5,D5,F4,D4,B2,B2,G4,G3,r,r,r,D5,D4,G3,B2,r
352.0,169.5833,119,1.0,r,r,r,r,r,r,C3,C3,r,r,r,r,r,D5,r,r,C3,r
352.5,169.8333,119,1.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,C5,r,r,C3,r
353.0,170.0833,119,2.0,r,r,r,r,r,r,C3,C3,r,r,r,r,r,D5,E-4,G3,C3,r
353.5,170.3333,119,2.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,E-5,E-4,G3,C3,r
354.0,170.5833,119,3.0,F6,C6,F5,C5,F4,C4,G#3,G#3,r,r,r,r,r,F5,F4,C4,G#3,r
355.0,171.0833,120,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,F5,r,r,G3,r
356.0,171.5833,120,2.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,F5,F4,B3,G3,r
357.0,172.0833,120,3.0,F6,D6,F5,D5,F4,D4,B3,B3,r,r,r,r,r,G5,G4,D4,B3,r
358.0,172.5833,121,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,F5,r,r,C4,r
358.5,172.8333,121,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,r,r,C4,r
359.0,173.0833,121,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,D5,E-4,G3,C4,r
359.5,173.3333,121,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,E-4,G3,C4,r
360.0,173.5833,121,3.0,F6,C6,F5,C5,F4,C4,G#3,G#3,r,r,r,r,r,C5,F4,C4,G#3,r
361.0,174.0833,122,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,C5,r,r,G3,r
361.5,174.3333,122,1.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,B4,r,r,G3,r
362.0,174.5833,122,2.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,C5,F4,D4,G3,r
362.5,174.8333,122,2.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,D5,F4,D4,G3,r
363.0,175.0833,122,3.0,F6,D6,F5,D5,F4,D4,B2,B2,G4,G3,r,r,r,D5,D4,G3,B2,r
364.0,175.5833,123,1.0,r,r,r,r,r,r,C3,C3,r,r,r,r,r,D5,r,r,C3,r
364.5,175.8333,123,1.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,C5,r,r,C3,r
365.0,176.0833,123,2.0,r,r,r,r,r,r,C3,C3,r,r,r,r,r,D5,E-4,G3,C3,r
365.5,176.3333,123,2.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,E-5,E-4,G3,C3,r
366.0,176.5833,123,3.0,F6,C6,F5,C5,F4,C4,G#3,G#3,r,r,r,r,r,F5,F4,C4,G#3,r
367.0,177.0833,124,1.0,r,r,r,r,r,r,E-3,E-3,r,r,r,r,r,F5,r,r,E-3,r
368.0,177.5833,124,2.0,r,r,r,r,r,r,E-3,E-3,r,r,r,r,r,F5,D4,B3,E-3,r
369.0,178.0833,124,3.0,F6,D6,F5,D5,F4,D4,B3,B3,r,r,r,r,r,G5,G4,D4,B3,r
370.0,178.5833,125,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,F5,r,r,C4,r
370.5,178.8333,125,1.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,E-5,r,r,C4,r
371.0,179.0833,125,2.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,D5,E-4,C4,C4,r
371.5,179.3333,125,2.5,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,E-4,C4,C4,r
372.0,179.5833,125,3.0,E-6,C6,E-5,C5,E-4,C4,B-3,B-3,r,r,C5,C4,C3,C5,G4,E-4,B-3,r
373.0,180.0833,126,1.0,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,r,r,r,G#3,r
373.5,180.3333,126,1.5,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,F5,r,r,G#3,r
374.0,180.5833,126,2.0,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,G5,F4,C4,G#3,r
374.5,180.8333,126,2.5,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,G#5,F4,C4,G#3,r
375.0,181.0833,126,3.0,F6,C6,F5,C5,F4,C4,F3,F3,r,r,C5,C4,C3,G#5,G#4,F4,F3,r
376.0,181.5833,127,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,C5,r,r,G3,r
376.5,181.8333,127,1.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,B4,r,r,G3,r
377.0,182.0833,127,2.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,A4,B3,G3,G3,r
377.5,182.3333,127,2.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,G4,B3,G3,G3,r
378.0,182.5833,127,3.0,D6,B5,D5,B4,D4,B3,F3,F3,r,r,G4,G3,G2,G4,D4,B3,F3,r
379.0,183.0833,128,1.0,r,r,r,r,r,r,E-3,E-3,r,r,r,r,r,r,r,r,E-3,r
379.5,183.3333,128,1.5,r,r,r,r,r,r,E-3,E-3,r,r,r,r,r,G4,r,r,E-3,r
380.0,183.5833,128,2.0,r,r,r,r,r,r,E-3,E-3,r,r,r,r,r,A4,C4,G3,E-3,r
380.5,183.8333,128,2.5,r,r,r,r,r,r,E-3,E-3,r,r,r,r,r,B4,C4,G3,E-3,r
381.0,184.0833,128,3.0,E-6,C6,E-5,C5,E-4,C4,D3,D3,r,r,C5,C4,C3,C5,E-4,C4,D3,r
382.0,184.5833,129,1.0,r,r,r,r,r,r,C3,C3,r,r,r,r,r,r,r,r,C3,C2
382.5,184.8333,129,1.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,C5,r,r,C3,C2
383.0,185.0833,129,2.0,r,r,r,r,r,r,C3,C3,r,r,r,r,r,D5,E-4,C4,C3,C2
383.5,185.3333,129,2.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,E-5,E-4,C4,C3,C2
384.0,185.5833,129,3.0,E-6,C6,E-5,C5,E-4,C4,B-2,B-2,r,r,C5,C4,C3,E-5,G4,E-4,B-2,B-1
385.0,186.0833,130,1.0,r,r,r,r,r,r,G#2,G#2,r,r,r,r,r,r,r,r,G#2,G#1
385.5,186.3333,130,1.5,r,r,r,r,r,r,G#2,G#2,r,r,r,r,r,F5,F4,r,G#2,G#1
386.0,186.5833,130,2.0,r,r,r,r,r,r,G#2,G#2,r,r,r,r,r,G5,G4,C3,G#2,G#1
386.5,186.8333,130,2.5,r,r,r,r,r,r,G#2,G#2,r,r,r,r,r,G#5,G#4,C3,G#2,G#1
387.0,187.0833,130,3.0,E-6,C6,E-5,C5,E-4,C4,G2,G2,r,r,C5,C4,C3,G#5,G#4,C4,G2,G1
388.0,187.5833,131,1.0,r,r,r,r,G#4,C4,F2,F2,r,r,r,r,r,r,r,r,F2,F1
388.5,187.8333,131,1.5,r,r,r,r,G#4,C4,F2,F2,r,r,r,r,r,G#5,G#4,C4,F2,F1
389.0,188.0833,131,2.0,r,r,r,r,G#4,C4,F2,F2,r,r,r,r,r,B-5,B-4,D4,F2,F1
389.5,188.3333,131,2.5,r,r,r,r,G#4,C4,F2,F2,r,r,r,r,r,C6,C5,E-4,F2,F1
390.0,188.5833,131,3.0,E-6,C6,E-5,C5,A4,C4,F#2,F#2,E-4,E-3,C5,C4,C3,C6,C5,E-4,F#2,F#1
391.0,189.0833,132,1.0,E-6,C6,G5,C5,C5,E-4,G2,G2,E-4,E-3,C5,C4,C3,C6,C5,E-4,G2,G1
392.0,189.5833,132,2.0,E-6,C6,G5,C5,C5,E-4,G3,G3,G4,G3,G4,G3,G2,C6,C6,C5,G3,G2
393.0,190.0833,132,3.0,D6,B5,G5,B4,B4,D4,G3,G3,G4,G3,G4,G3,G2,B5,B5,B4,G3,G2
394.0,190.5833,133,1.0,C6,C6,E-5,C5,C5,E-4,C3,C3,E-4,E-3,C4,C4,C3,C6,C6,C5,C3,C2
397.0,192.0833,134,1.0,G6,D6,G5,G4,D5,D5,D4,B3,G4,G3,G4,G3,G2,G5,D5,D4,B2,B1
398.0,192.5833,134,2.0,G6,D6,G5,G4,D5,D5,D4,B3,G4,G3,G4,G3,G2,G5,D5,D4,B2,B1
399.0,193.0833,134,3.0,G6,D6,G5,G4,D5,D5,D4,B3,G4,G3,G4,G3,G2,G5,D5,D4,B2,B1
400.0,193.5833,135,1.0,G6,E-6,G5,G4,E-5,E-5,E-4,C4,G4,G3,G4,G3,G2,G5,E-5,E-4,C3,C2
403.0,195.0833,136,1.0,G6,D6,G5,G4,D5,D5,F4,D4,G4,G3,G4,G3,G2,G5,D5,F4,D3,D2
404.0,195.5833,136,2.0,G6,D6,G5,G4,D5,D5,F4,D4,G4,G3,G4,G3,G2,G5,D5,F4,D3,D2
405.0,196.0833,136,3.0,G6,D6,G5,G4,D5,D5,F4,D4,G4,G3,G4,G3,G2,G5,D5,F4,D3,D2
406.0,196.5833,137,1.0,G6,C6,G5,G4,C5,C5,G4,E-4,G4,G3,G4,G3,G2,G5,C5,G4,E-2,E-1
409.0,198.0833,138,1.0,B-5,G5,C6,r,r,r,B-3,G3,r,r,C5,C4,C3,C5,B-4,G3,E2,E1
410.0,198.5833,138,2.0,B-5,G5,C6,r,r,r,B-3,G3,r,r,C5,C4,C3,C5,B-4,G3,E2,E1
411.0,199.0833,138,3.0,B-5,G5,C6,r,r,r,B-3,G3,r,r,C5,C4,C3,C5,B-4,G3,E2,E1
412.0,199.5833,139,1.0,G#5,F5,C6,r,r,r,G#3,F3,r,r,C5,C4,C3,C5,G#4,G#3,F2,F1
415.0,201.0833,140,1.0,D5,B4,G5,r,r,r,B3,G3,r,r,G4,G3,G2,G4,D4,B3,G2,G1
418.0,202.5833,141,1.0,C5,C5,C5,r,r,r,C4,C3,r,r,C4,C4,C3,C4,C4,C4,C3,C2
420.0,203.5833,142,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
421.0,204.0833,143,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
421.5,204.3333,143,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
422.0,204.5833,143,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
422.5,204.8333,143,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G2,G1
423.0,205.0833,143,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
423.5,205.3333,143,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
424.0,205.5833,144,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
424.5,205.8333,144,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
425.0,206.0833,144,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
425.5,206.3333,144,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
426.0,206.5833,144,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
426.5,206.8333,144,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
427.0,207.0833,145,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
429.0,208.0833,145,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
430.0,208.5833,146,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
431.0,209.0833,146,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
432.0,209.5833,146,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A2
433.0,210.0833,147,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
434.0,210.5833,147,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
435.0,211.0833,147,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
436.0,211.5833,148,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2
437.0,212.0833,148,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
438.0,212.5833,148,3.0,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,A3,C4,C3
439.0,213.0833,149,1.0,r,r,r,r,r,r,F#3,F#3,r,r,r,r,r,r,r,F#3,A3,A2
439.5,213.3333,149,1.5,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,r,G3,A3,A2
440.0,213.5833,149,2.0,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,A3,D4,D3
440.5,213.8333,149,2.5,r,r,r,r,r,r,D3,D3,r,r,r,r,r,r,r,D3,D4,D3
441.0,214.0833,149,3.0,r,r,r,r,r,r,E3,E3,r,r,r,r,r,r,r,E3,C4,C3
441.5,214.3333,149,3.5,r,r,r,r,r,r,F#3,F#3,r,r,r,r,r,r,r,F#3,C4,C3
442.0,214.5833,150,1.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,r,G3,B3,B2
442.5,214.8333,150,1.5,r,r,r,r,r,r,F#3,F#3,r,r,r,r,r,r,r,F#3,B3,B2
443.0,215.0833,150,2.0,r,r,r,r,r,r,G3,G3,r,r,r,r,r,r,r,G3,G3,G2
443.5,215.3333,150,2.5,r,r,r,r,r,r,A3,A3,r,r,r,r,r,r,r,A3,G3,G2
444.0,215.5833,150,3.0,r,r,r,r,r,r,B3,B3,r,r,r,r,r,r,r,B3,E3,E2
444.5,215.8333,150,3.5,r,r,r,r,r,r,C#4,C#4,r,r,r,r,r,r,r,C#4,E3,E2
445.0,216.0833,151,1.0,r,r,r,r,r,r,D4,D4,r,r,r,r,r,r,r,D4,F#3,F#2
446.0,216.5833,151,2.0,r,r,r,r,r,r,D4,D4,r,r,r,r,r,r,r,D4,D3,D2
447.0,217.0833,151,3.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,r,r,C4,F#3,F#2
