qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,25.0,Main Part,U(Main),,,,,P8(Bassoon 2)&P8(Contrabassoon),P8(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),,,,,P8(E Trumpet 2),P8(E Trumpet 1),,,,,U(Violin 2)&U(Viola)&P4(Violoncello)&P3(Contrabass),U(Violin 1)&U(Viola)&P4(Violoncello)&P3(Contrabass),U(Violin 1)&U(Violin 2)&P4(Violoncello)&P3(Contrabass),P4(Violin 1)&P4(Violin 2)&P4(Viola)&P6(Contrabass),P3(Violin 1)&P3(Violin 2)&P3(Viola)&P6(Violoncello)
25.0,46.0,,,U(A Clarinet 1),,U(Oboe 1),,,,,P8(E Horn 2)&P8(Timpani),P8(E Horn 1)&P8(Timpani),U(C Horn 4),U(C Horn 3),,,,P3(Trombone 3),P3(Trombone 2),P8(E Horn 1)&P8(E Horn 2),Main Part,,,,
46.0,52.0,P6(Flute 2)&P6(Oboe 2)&P6(A Clarinet 2),P6(Flute 1)&P8(Oboe 2)&P8(A Clarinet 2),Main Part,P6(Flute 1)&P8(Flute 2)&U(A Clarinet 2),U(Main),P6(Flute 1)&P8(Flute 2)&U(Oboe 2),,,,P8(E Horn 2)&P8(Timpani),P8(E Horn 1)&P8(Timpani),U(C Horn 4),U(C Horn 3),,,,,,P8(E Horn 1)&P8(E Horn 2),P3(Violin 2),P3(Violin 1),,,
52.0,58.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,,P8(E Horn 2)&U(Timpani),P8(E Horn 1)&P8(Timpani),U(C Horn 4),U(C Horn 3),,,,,,U(E Horn 1)&P8(E Horn 2),,,U(Violoncello),U(Viola),
58.0,64.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),Main Part,,P8(Main),,,,,,,,,,,,,,,U(Violoncello),U(Viola),
64.0,75.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,P8(Bassoon 2),,P8(A Clarinet 2),,P8(E Horn 2)&P8(E Trumpet 1),P8(E Horn 1)&P8(E Trumpet 1),U(Trombone 2),U(Trombone 3),P8(E Horn 1)&P8(E Horn 2),,P8(Violin 1),U(C Horn 3),U(C Horn 4),,P8(Trombone 1),,,P8(Contrabass),P8(Violoncello)
75.0,78.0,P8(Oboe 1)&P8(E Horn 1)&P8(E Trumpet 1),Main Part,P8(Flute 1)&P8(E Horn 1)&U(E Trumpet 1),P8(Main)&P8(C Horn 3),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),P8(Trombone 3),P8(Flute 1)&P8(Oboe 1)&P8(E Trumpet 1),,P8(Main)&P8(Oboe 2),,P8(Flute 1)&U(Oboe 1)&P8(E Horn 1),P5(Trombone 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Viola),P5(E Trumpet 2)&P5(Violoncello)&P5(Contrabass),P8(Contrabassoon),,P8(Trombone 1)&P8(Viola),,U(Trombone 1)&P8(Violin 1),P8(E Trumpet 2)&P5(Trombone 2)&P8(Contrabass),P8(E Trumpet 2)&P5(Trombone 2)&P8(Violoncello)
78.0,81.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2),P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1),P8(Violoncello)&U(Contrabass),P3(E Horn 2)&P8(E Trumpet 1)&U(Trombone 1)&P3(Trombone 2)&P8(Violin 1)&P3(Violin 2)&U(Viola),P3(E Horn 1)&P3(E Trumpet 1)&P3(Trombone 1)&U(Trombone 2)&P3(Violin 1)&P3(Viola),P8(C Horn 4)&P8(E Trumpet 2)&P8(Trombone 3),P8(C Horn 3)&P8(E Trumpet 2)&U(Trombone 3),P8(E Horn 1)&P3(E Horn 2)&P8(Trombone 1)&P3(Trombone 2)&U(Violin 1)&P3(Violin 2)&P8(Viola),P8(C Horn 3)&P8(C Horn 4)&P8(Trombone 3),U(E Horn 1)&P3(E Horn 2)&P8(E Trumpet 1)&P3(Trombone 2)&P8(Violin 1)&P3(Violin 2)&U(Viola),P3(E Horn 1)&U(E Horn 2)&P3(E Trumpet 1)&P3(Trombone 1)&P3(Violin 1)&P3(Viola),P8(C Horn 3)&U(C Horn 4)&P8(E Trumpet 2),,P8(E Horn 1)&P3(E Horn 2)&U(E Trumpet 1)&P8(Trombone 1)&P3(Trombone 2)&P3(Violin 2)&P8(Viola),P3(E Horn 1)&P3(E Trumpet 1)&P3(Trombone 1)&P3(Violin 1)&P3(Viola),U(E Horn 1)&P3(E Horn 2)&P8(E Trumpet 1)&U(Trombone 1)&P3(Trombone 2)&P8(Violin 1)&P3(Violin 2),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
81.0,84.0,,Main Part,,P8(Bassoon 1),,P3(E Horn 2)&P8(C Horn 3)&P8(C Horn 4),P8(Oboe 2),,P8(Trombone 3),P8(E Trumpet 1),P3(A Clarinet 2)&P3(C Horn 3)&P3(C Horn 4),P8(A Clarinet 2)&P3(E Horn 2)&U(C Horn 4),P8(A Clarinet 2)&P3(E Horn 2)&U(C Horn 3),P8(E Horn 1),P5(Trombone 1)&P3(Trombone 2)&P5(Violin 1)&P3(Violin 2)&P5(Viola),P5(E Trumpet 2)&P8(Violin 1)&U(Viola),P3(E Trumpet 2)&P8(Violin 2),P8(Contrabassoon),,P5(E Trumpet 2)&P8(Trombone 1)&P8(Viola),P3(E Trumpet 2)&P8(Trombone 2),P5(E Trumpet 2)&U(Trombone 1)&P8(Violin 1),P8(Contrabass),P8(Violoncello)
84.0,93.0,Main Part,U(Oboe 1),U(Flute 2),,,,,,,,,,,P8(E Trumpet 2)&P8(Timpani),P8(E Trumpet 1)&P8(Timpani),,P8(Violin 2),,P8(E Trumpet 1)&P8(E Trumpet 2),,P8(Trombone 2),,P8(Contrabass),P8(Violoncello)
93.0,96.0,U(Flute 2)&P8(A Clarinet 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani),U(Flute 1)&P8(A Clarinet 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani),Main Part,,P8(Flute 1)&P8(Flute 2)&P8(E Horn 2)&U(E Trumpet 1)&P8(E Trumpet 2)&P8(Timpani),P8(Main)&P8(Bassoon 1)&P8(C Horn 3),P8(Main)&P8(A Clarinet 2)&U(C Horn 3),U(C Horn 4),P8(Trombone 3),,P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&P8(E Trumpet 1)&P8(E Trumpet 2)&U(Timpani),P8(Main)&P8(A Clarinet 2)&U(Bassoon 1),U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1)&P8(E Horn 2)&P8(E Trumpet 2)&P8(Timpani),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&P8(E Horn 2)&P8(E Trumpet 1)&P8(Timpani),,,P8(Contrabassoon),P8(Flute 1)&P8(Flute 2)&P8(A Clarinet 1)&U(E Horn 2)&P8(E Trumpet 1)&P8(E Trumpet 2),,U(Viola),U(Violin 2),P8(Contrabass),P8(Violoncello)
96.0,120.5,P3(Oboe 2),,P3(Oboe 2),P3(Flute 1)&P3(Oboe 1),,,,,P8(E Horn 1)&U(E Horn 2)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P5(Trombone 1)&P3(Trombone 2)&U(Trombone 3)&U(Timpani),P8(Contrabassoon)&P8(E Horn 2)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 1)&U(E Trumpet 2)&P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani),U(Contrabassoon)&P8(E Horn 1)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P5(Trombone 1)&P3(Trombone 2)&U(Trombone 3)&U(Timpani),P5(Contrabassoon)&P5(E Horn 1)&P5(E Horn 2)&P3(C Horn 4)&P5(E Trumpet 1)&P5(E Trumpet 2)&U(Trombone 1)&P3(Trombone 2)&P5(Trombone 3)&P5(Timpani),P3(Contrabassoon)&P3(E Horn 1)&P3(E Horn 2)&P3(C Horn 3)&P3(E Trumpet 1)&P3(E Trumpet 2)&P3(Trombone 1)&U(Trombone 2)&P3(Trombone 3)&P3(Timpani),P8(Contrabassoon)&P8(E Horn 1)&P8(E Horn 2)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 2)&P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani),P8(Contrabassoon)&U(E Horn 1)&P8(E Horn 2)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 1)&P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3)&P8(Timpani),P5(Contrabassoon)&P5(E Horn 1)&P5(E Horn 2)&U(C Horn 3)&P3(C Horn 4)&P5(E Trumpet 1)&P5(E Trumpet 2)&P3(Trombone 2)&P5(Trombone 3)&P5(Timpani),P3(Contrabassoon)&P3(E Horn 1)&P3(E Horn 2)&P3(C Horn 3)&U(C Horn 4)&P3(E Trumpet 1)&P3(E Trumpet 2)&P3(Trombone 1)&P3(Trombone 3)&P3(Timpani),U(Contrabassoon)&P8(E Horn 1)&U(E Horn 2)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P5(Trombone 1)&P3(Trombone 2)&U(Timpani),U(Contrabassoon)&P8(E Horn 1)&U(E Horn 2)&P5(C Horn 3)&P3(C Horn 4)&P8(E Trumpet 1)&P8(E Trumpet 2)&P5(Trombone 1)&P3(Trombone 2)&U(Trombone 3),Main Part,,,P8(Contrabass),P8(Violoncello)
120.5,126.5,P8(Oboe 1),,P8(Flute 1),,U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,,,,,,Main Part,U(Main)&U(Viola),U(Main)&U(Violin 2),,
126.5,138.5,,,,,U(A Clarinet 2),U(A Clarinet 1),,,,,,,,,,,,,,Main Part,U(Main)&P8(Viola),P8(Main)&P8(Violin 2),,
138.5,149.5,,,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,,,,,Main Part,U(Main)&P8(Viola),P8(Main)&P8(Violin 2),,
149.5,155.5,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),U(Bassoon 2),U(Bassoon 1),,,,,,,,,,,,Main Part,U(Main)&P8(Viola),P8(Main)&P8(Violin 2),,
155.5,158.5,P8(A Clarinet 1),P8(A Clarinet 2)&P8(E Horn 2),U(Oboe 2),U(Oboe 1),P8(Flute 1),P8(Flute 2)&U(E Horn 2),,P3(E Horn 1),,P3(Bassoon 2),P8(Flute 2)&U(A Clarinet 2),,,,,,,,,Main Part,P8(Viola),P8(Violin 2),,
158.5,161.5,P8(A Clarinet 1),P8(A Clarinet 2)&P3(Bassoon 1)&P8(E Horn 2),U(Oboe 2),U(Oboe 1),P8(Flute 1),P8(Flute 2)&P3(Bassoon 1)&U(E Horn 2),P3(Flute 2)&P3(A Clarinet 2)&P3(E Horn 2),,,,P8(Flute 2)&U(A Clarinet 2)&P3(Bassoon 1),,,,,,,,,Main Part,,,,
161.5,167.75,,,,,,,,,,,,,,,,,,,,Main Part,,,,
167.75,168.75,P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P6(Flute 1)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P4(Contrabass),U(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P4(Contrabass),P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P4(Bassoon 1)&P4(Bassoon 2)&P4(Contrabassoon)&P4(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),,,P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P4(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
168.75,170.75,Main Part,U(Oboe 2)&P8(A Clarinet 2),U(Main)&P8(A Clarinet 1),U(Flute 2)&P8(A Clarinet 2),P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
170.75,171.75,P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P3(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),U(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P3(Flute 1)&U(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),U(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P3(Flute 1)&U(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),P3(Violoncello),P3(Viola),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
171.75,173.75,Main Part,U(Oboe 2)&U(A Clarinet 2),U(Main)&U(A Clarinet 1),U(Flute 2)&U(A Clarinet 2),U(Main)&U(Oboe 1),U(Flute 2)&U(Oboe 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
173.75,174.75,P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P3(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Contrabassoon)&P5(Contrabass),P3(Flute 1)&U(Flute 2)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Contrabassoon)&P5(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Contrabassoon)&P5(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Contrabassoon)&P5(Contrabass),P3(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),,,P3(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
174.75,176.75,Main Part,U(Oboe 1)&P8(A Clarinet 2),U(Flute 2)&P8(A Clarinet 2),,,P8(Flute 2)&P8(Oboe 1),P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
176.75,177.75,P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P3(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),U(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P3(Flute 1)&U(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P2(Bassoon 1)&P2(Bassoon 2)&P2(Contrabassoon)&P2(Contrabass),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),,,P2(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P2(Oboe 2)&P2(A Clarinet 1)&P2(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
177.75,179.75,Main Part,U(Oboe 2)&P8(A Clarinet 2),U(Main)&P8(A Clarinet 1),U(Flute 2)&P8(A Clarinet 2),P8(Main)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
179.75,180.75,P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),U(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),P3(Flute 1)&U(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),,,P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
180.75,182.75,Main Part,U(Oboe 2)&P8(Violoncello),U(Main)&P8(A Clarinet 1)&P3(A Clarinet 2),U(Flute 2)&P8(Violoncello),P8(Main)&P8(Oboe 1)&P3(A Clarinet 2),P3(Main)&P3(Oboe 1)&P3(A Clarinet 1),P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Flute 2)&P8(Oboe 2),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
