qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Pauken,Violin 1,Violin 2,Viola,Violoncello,Contrabass
332.0,336.0,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2),U(Main)&U(Flute 2)&U(Oboe 2),U(Main)&U(Flute 2)&U(Oboe 1),,P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&U(Bass Trombone)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&U(Bass Trombone)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&U(Bass Trombone)&P8(Viola)&P8(Violoncello)&U(Contrabass),U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 3)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Bass Trombone)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Violoncello)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&U(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&U(Viola)&P8(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&U(Bass Trombone)&P8(Viola)&P8(Violoncello)
336.0,344.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet),P8(Tenor Trombone),,,,,,P8(F Trumpet 2)&P8(F Trumpet 3),P8(F Trumpet 1)&U(F Trumpet 3),P8(F Trumpet 1)&U(F Trumpet 2),,P8(Bassoon 1),,,,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 2)&P8(Viola)&P8(Violoncello)
344.0,352.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone),P8(Main)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 2)&U(F Horn 3)&U(F Horn 4)&U(Alto Trombone)&U(Tenor Trombone),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(F Horn 3)&U(F Horn 4)&U(Alto Trombone)&U(Tenor Trombone),U(F Horn 2),U(F Horn 1),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(F Horn 4)&U(Alto Trombone)&U(Tenor Trombone),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(F Horn 3)&U(Alto Trombone)&U(Tenor Trombone),U(F Trumpet 2),U(F Trumpet 1),P8(Bass Trombone),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(F Horn 3)&U(F Horn 4)&U(Tenor Trombone),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(F Horn 3)&U(F Horn 4)&U(Alto Trombone),P8(F Trumpet 3),,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
352.0,360.0,Main Part,U(Main),U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2),U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2),U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet),P8(F Horn 2)&P8(F Trumpet 1),,U(F Trumpet 3),P8(Bassoon 1)&P8(F Trumpet 1),P8(F Trumpet 2)&U(Tenor Trombone),U(Bass Trombone),P8(Bassoon 1)&P8(F Horn 2),P8(F Horn 3)&P8(Tenor Trombone),U(F Horn 1),,U(F Horn 3)&P8(F Trumpet 2),U(F Horn 4),,P8(Violin 2),P8(Violin 1),P8(Violoncello),P8(Viola),
360.0,368.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet),P8(Bassoon 2)&P3(F Trumpet 3)&P3(Alto Trombone)&P8(Bass Trombone)&P8(Contrabass),P8(Bassoon 1)&P3(F Trumpet 3)&P3(Alto Trombone)&U(Bass Trombone)&U(Contrabass),U(F Horn 2),U(F Horn 1),,,U(F Trumpet 2),U(F Trumpet 1),P3(Bassoon 1)&P3(Bassoon 2)&P8(Alto Trombone)&P3(Bass Trombone)&P3(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&P8(F Trumpet 3)&P3(Bass Trombone)&P3(Contrabass),,P8(Bassoon 1)&U(Bassoon 2)&P3(F Trumpet 3)&P3(Alto Trombone)&U(Contrabass),,U(Violin 2),U(Violin 1),P8(Violoncello),P8(Viola),P8(Bassoon 1)&U(Bassoon 2)&P3(F Trumpet 3)&P3(Alto Trombone)&U(Bass Trombone)
368.0,376.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Alto Trombone),P8(Main)&P8(Flute 2)&U(Oboe 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Alto Trombone),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Alto Trombone),U(Bb Clarinet 2),U(Bb Clarinet),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),U(F Horn 2),U(F Horn 1),U(F Horn 4),U(F Horn 3),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(F Trumpet 2)&P8(Alto Trombone),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(Alto Trombone),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(F Trumpet 1)&P8(F Trumpet 2),,,,,,,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
376.0,378.0,,,,,Main Part,U(Main),P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P8(Violoncello)&U(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P3(Violoncello)&P3(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P3(Violoncello)&P3(Contrabass),U(F Horn 4),U(F Horn 3),,,,,,,,,,,U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P8(Violoncello)
378.0,380.0,,,,,U(Bb Clarinet 2)&P8(F Trumpet 3),U(Bb Clarinet)&P8(F Trumpet 3),Main Part,P8(Main)&P8(Violoncello)&U(Contrabass),U(F Horn 2),U(F Horn 1),,,,,P8(Bb Clarinet)&P8(Bb Clarinet 2),,,,,,,,U(Main)&P8(Bassoon 2)&P8(Contrabass),P8(Main)&U(Bassoon 2)&P8(Violoncello)
380.0,382.0,,,,,Main Part,U(Main),P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2)&P8(Violoncello)&U(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P3(Violoncello)&P3(Contrabass),P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P3(Violoncello)&P3(Contrabass),,,,,,,,,,,,,U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P8(Violoncello)
382.0,384.0,U(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P3(Bb Clarinet 2),U(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet)&P3(Bb Clarinet 2),P3(Flute 1)&P3(Flute 2)&U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2),P3(Flute 1)&P3(Flute 2)&U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2),P3(Flute 1)&P3(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2),P3(Flute 1)&P3(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet),Main Part,P8(Main)&P8(Violoncello)&U(Contrabass),U(F Horn 2),U(F Horn 1),,,,,,,,,,,,,U(Main)&P8(Bassoon 2)&P8(Contrabass),P8(Main)&U(Bassoon 2)&P8(Violoncello)
384.0,392.0,Main Part,U(Main),U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2)&U(Viola),U(Oboe 1)&U(Bb Clarinet)&U(Bb Clarinet 2)&U(Viola),U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&U(Viola),U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet)&U(Viola),U(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P3(Violin 1)&U(Violoncello),U(Bassoon 1)&P4(F Horn 1)&P4(F Horn 2)&P3(Violin 1)&U(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&U(F Horn 2)&P2(Violin 1)&P4(Violoncello),P4(Bassoon 1)&P4(Bassoon 2)&U(F Horn 1)&P2(Violin 1)&P4(Violoncello),,,,,,,,,,P3(Bassoon 1)&P3(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2)&P3(Violoncello),,U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2),U(Bassoon 1)&U(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2)&P3(Violin 1),
392.0,400.3333,,,P8(Bb Clarinet),U(Bb Clarinet 2)&P3(F Horn 1)&P3(F Horn 2)&U(Viola),P8(Oboe 1),U(Oboe 2)&P3(F Horn 1)&P3(F Horn 2)&U(Viola),Main Part,U(Main)&U(Violoncello),P3(Oboe 2)&P3(Bb Clarinet 2)&U(F Horn 2)&P3(Viola),P3(Oboe 2)&P3(Bb Clarinet 2)&U(F Horn 1)&P3(Viola),,,,,,,,,,,,U(Oboe 2)&U(Bb Clarinet 2)&P3(F Horn 1)&P3(F Horn 2),U(Main)&U(Bassoon 2),
400.3333,402.3333,,,Main Part,,P8(Main),,,,,,,,,,,,,,,,,,,
402.3333,404.3333,Main Part,,P8(Bb Clarinet),,P8(Oboe 1),,,,,,,,,,,,,,,,,,,
404.3333,408.3333,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
408.3333,412.3333,,,P3(Viola),,,,,,,,,,,,,,,,,,,P3(Oboe 1),Main Part,P8(Main)
412.3333,416.3333,U(Oboe 2)&P8(Bb Clarinet)&P4(F Horn 1)&P6(F Horn 2)&P8(F Horn 3)&P3(F Horn 4),,Main Part,U(Flute 1)&P8(Bb Clarinet)&P4(F Horn 1)&P6(F Horn 2)&P8(F Horn 3)&P3(F Horn 4),P8(Flute 1)&P8(Oboe 2)&P4(F Horn 1)&P6(F Horn 2)&P8(F Horn 3)&P3(F Horn 4),,,,P4(Flute 1)&P4(Oboe 2)&P4(Bb Clarinet)&P3(F Horn 2)&P4(F Horn 3)&P2(F Horn 4),P6(Flute 1)&P6(Oboe 2)&P6(Bb Clarinet)&P3(F Horn 1)&P6(F Horn 3)&P4(F Horn 4),P8(Flute 1)&P8(Oboe 2)&P8(Bb Clarinet)&P4(F Horn 1)&P6(F Horn 2)&P3(F Horn 4),P3(Flute 1)&P3(Oboe 2)&P3(Bb Clarinet)&P2(F Horn 1)&P4(F Horn 2)&P3(F Horn 3),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
416.3333,424.3333,Main Part,,,,P8(Main),,,,P3(F Horn 2),P3(F Horn 1),,,,,,,,,,U(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P5(Violin 1)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P5(Viola)&P8(Violoncello)
424.3333,440.3333,,,,,,,,,P3(F Horn 2)&P3(F Horn 3)&P3(F Horn 4),P3(F Horn 1)&P5(F Horn 3)&P5(F Horn 4),P3(F Horn 1)&P5(F Horn 2)&U(F Horn 4),P3(F Horn 1)&P5(F Horn 2)&U(F Horn 3),,,,,,,,Main Part,U(Main),,P8(Contrabass),P8(Violoncello)
440.3333,456.3333,,,,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
456.3333,464.3333,,,,,,,,,,,,,,,,,,,,Main Part,,,,
464.3333,472.8333,,,,,,,,,,,,,,,,,,,,Main Part,,,,
472.8333,480.3333,,,,,,,U(Violoncello),,,,,,,,,,,,,Main Part,P3(Viola),P3(Violin 2),U(Bassoon 1),
480.3333,488.3333,,,U(Oboe 2),U(Oboe 1),,,U(Main),,,,,,,,,,,,,,,,Main Part,
488.3333,496.3333,,,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,,,,,,,,Main Part,
496.3333,504.3333,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,,,,,,P4(Viola),P4(Violin 2),Main Part,
504.3333,520.3333,,,,,,P8(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Bass Trombone)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 2)&P5(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Bass Trombone)&P8(Contrabass),P8(Bb Clarinet 2)&U(Bassoon 1)&P5(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Bass Trombone)&P8(Contrabass),,,P5(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 4)&P5(F Trumpet 1)&P3(Alto Trombone)&P8(Tenor Trombone)&P5(Bass Trombone)&P5(Contrabass),P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Trumpet 1)&U(Alto Trombone)&P3(Tenor Trombone)&P3(Bass Trombone)&P3(Contrabass),U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 3)&P3(F Horn 4)&P3(Alto Trombone)&P5(Tenor Trombone)&P8(Bass Trombone)&P8(Contrabass),,,P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&U(F Horn 4)&P3(F Trumpet 1)&P3(Tenor Trombone)&P3(Bass Trombone)&P3(Contrabass),P5(Bb Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 3)&P3(F Horn 4)&P5(F Trumpet 1)&P3(Alto Trombone)&P5(Bass Trombone)&P5(Contrabass),P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P3(Alto Trombone)&P5(Tenor Trombone)&U(Contrabass),,Main Part,,,,P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P3(Alto Trombone)&P5(Tenor Trombone)&U(Bass Trombone)
520.3333,528.3333,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P4(F Trumpet 3),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P4(F Trumpet 3),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P4(F Trumpet 3),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P4(F Trumpet 3),U(Bb Clarinet 2)&U(F Trumpet 1),U(Bb Clarinet)&U(F Trumpet 1),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&P8(Contrabass),U(F Horn 2)&U(Viola),U(F Horn 1)&U(Viola),,,U(Bb Clarinet)&U(Bb Clarinet 2),,P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2),P3(Tenor Trombone),P3(Alto Trombone),,,Main Part,P8(Main),U(F Horn 1)&U(F Horn 2),U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
528.3333,536.3333,U(Flute 2)&P8(Bb Clarinet 2)&P8(Main),U(Flute 1)&P8(Bb Clarinet 2)&P8(Main),U(Oboe 2),U(Oboe 1),,P8(Flute 1)&P8(Flute 2)&U(Main),P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),U(F Horn 2),U(F Horn 1),P3(F Horn 4),P3(F Horn 3),Main Part,,,P3(Tenor Trombone)&P6(Bass Trombone),P3(Alto Trombone)&P4(Bass Trombone),P6(Alto Trombone)&P4(Tenor Trombone),,P8(Violin 2),P8(Violin 1),,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
536.3333,552.3333,,P8(F Trumpet 1)&P8(F Trumpet 2),,P8(F Horn 1)&P8(F Horn 2),,,P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)&U(Contrabass),P8(Oboe 2)&U(F Horn 2),P8(Oboe 2)&U(F Horn 1),,,P8(Flute 2)&U(F Trumpet 2),P8(Flute 2)&U(F Trumpet 1),,P3(Tenor Trombone)&P6(Bass Trombone)&P6(Pauken),P3(Alto Trombone)&P4(Bass Trombone)&P4(Pauken),P6(Alto Trombone)&P4(Tenor Trombone)&U(Pauken),P6(Alto Trombone)&P4(Tenor Trombone)&U(Bass Trombone),Main Part,P8(Main),,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)
552.3333,559.3333,Main Part,,,,,,P8(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P6(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,,,,,P6(Bass Trombone),,P6(Alto Trombone),,P6(Bassoon 1)&P6(Bassoon 2)&P8(Violin 2)&P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(Bassoon 1)&P6(Bassoon 2)&P8(Violin 1)&P6(Viola)&P6(Violoncello)&P6(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&U(Viola)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P6(Violin 1)&P6(Violin 2)&P8(Viola)&P8(Violoncello)
559.3333,567.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
567.8333,571.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
571.8333,575.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
575.8333,579.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
579.8333,583.8333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
583.8333,600.3333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
600.3333,608.3333,Main Part,,,,,,,,,,,,,,,,,,,,,,,
608.3333,612.3333,,,Main Part,,P3(Bb Clarinet 2),P3(Bb Clarinet),P8(Viola),,,,,,,,,,,,,,,P8(Bassoon 1),,
612.3333,616.3333,,,,,P3(Bb Clarinet 2)&P2(Pauken),P3(Bb Clarinet),Main Part,,,,,,,,,,,,P2(Bb Clarinet),,,P8(Main),,
616.3333,620.3333,,,Main Part,,P3(Bb Clarinet 2),P3(Bb Clarinet),P8(Viola),,,,,,,,,,,,,,,P8(Bassoon 1),,
620.3333,624.3333,P3(Violin 1)&P5(Violin 2),,,,P3(Bb Clarinet 2),P3(Bb Clarinet),Main Part,,,,,,,,,,,,,P3(Flute 1)&P3(Violin 2),P5(Flute 1)&P3(Violin 1),,,
624.3333,632.3333,Main Part,,,,,,,,,,P3(F Horn 4),P3(F Horn 3),,,,,,,,P3(Violin 2),P3(Violin 1),,,
632.3333,640.3333,Main Part,,,,,,,,,,P3(F Horn 4)&P4(Pauken),P3(F Horn 3)&P6(Pauken),,,,,,,P4(F Horn 3)&P6(F Horn 4),P3(Violin 2),P3(Violin 1),,,
