id	path	name	set_id	comments
1	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/01	Kyrie eleison	1	
2	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/02	Christe eleison	1	
3	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/03	Kyrie eleison	1	
4	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/04	Gloria in excelsis. Et in terra pax	1	
5	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/05	Laudamus te	1	
6	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/06	Gratias agimus tibi	1	
7	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/07a	Domine Deus	1	
8	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/07b	Qui tollis peccata mundi	1	
9	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/08	Qui sedes ad dexteram Patris	1	
10	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/09a	Quoniam tu solus sanctus	1	
11	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/09b	Cum Sancto Spiritu	1	
12	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/10	Credo in unum Deum	1	
13	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/11	Patrem omnipotentem	1	
14	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/12	Et in unum Dominum	1	
15	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/13	Et incarnatus est	1	
16	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/14	Crucifixus	1	
17	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/15	Et resurrexit	1	
18	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/16	Et in Spiritum sanctum	1	
19	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/17	Confiteor. Et expecto	1	
20	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/18	Sanctus. Pleni sunt coeli	1	
21	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/19,21	Osanna	1	
22	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/20	Benedictus	1	
23	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/22	Agnus Dei	1	
24	Bach,_Johann_Sebastian/B_Minor_Mass,_BWV.232/23	Dona nobis pacem	1	
25	Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/1	Allegro	2	
26	Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/2	Adagio	2	
27	Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/3	Allegro	2	
28	Bach,_Johann_Sebastian/Brandenburg_Concerto_No.4,_BWV.1049/1	Allegro	3	
29	Bach,_Johann_Sebastian/Brandenburg_Concerto_No.4,_BWV.1049/2	Andante	3	
30	Bach,_Johann_Sebastian/Brandenburg_Concerto_No.4,_BWV.1049/3	Presto	3	
31	Beach,_Amy/Symphony_in_E_minor_(Gaelic),_Op.32/1	Allegro con fuoco	4	
32	Beach,_Amy/Symphony_in_E_minor_(Gaelic),_Op.32/2	Alla Siciliana - Allegro vivace - Andante	4	
33	Beach,_Amy/Symphony_in_E_minor_(Gaelic),_Op.32/3	Lento con molto espressione	4	
34	Beach,_Amy/Symphony_in_E_minor_(Gaelic),_Op.32/4	Allegro di molto	4	
35	Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1	Adagio molto – Allegro con brio	5	
36	Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2	Andante cantabile con moto	5	
37	Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/3	Minuet. Allegro molto e vivace - Trio	5	
38	Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/4	Finale. Adagio – Allegro molto e vivace	5	
39	Beethoven,_Ludwig_van/Symphony_No.2,_Op.36/1	Adagio molto — Allegro con brio	6	
40	Beethoven,_Ludwig_van/Symphony_No.2,_Op.36/2	Larghetto	6	
41	Beethoven,_Ludwig_van/Symphony_No.2,_Op.36/3	Scherzo. Allegro - Trio	6	
42	Beethoven,_Ludwig_van/Symphony_No.2,_Op.36/4	Allegro molto	6	
43	Beethoven,_Ludwig_van/Symphony_No.3,_Op.55/1	Allegro con brio	7	
44	Beethoven,_Ludwig_van/Symphony_No.3,_Op.55/2	Marcia funebre. Adagio assai	7	
45	Beethoven,_Ludwig_van/Symphony_No.3,_Op.55/3	Scherzo. Allegro vivace – Trio	7	
46	Beethoven,_Ludwig_van/Symphony_No.3,_Op.55/4	Finale. Allegro molto	7	
47	Beethoven,_Ludwig_van/Symphony_No.4,_Op.60/1	Adagio - Allegro vivace	8	
48	Beethoven,_Ludwig_van/Symphony_No.4,_Op.60/2	Adagio	8	
49	Beethoven,_Ludwig_van/Symphony_No.4,_Op.60/3	Allegro vivace	8	
50	Beethoven,_Ludwig_van/Symphony_No.4,_Op.60/4	Allegro ma non troppo	8	
51	Beethoven,_Ludwig_van/Symphony_No.5,_Op.67/1	Allegro con brio	9	
52	Beethoven,_Ludwig_van/Symphony_No.5,_Op.67/2	Andante con moto	9	
53	Beethoven,_Ludwig_van/Symphony_No.5,_Op.67/3	Scherzo. Allegro - Trio	9	
54	Beethoven,_Ludwig_van/Symphony_No.5,_Op.67/4	Allegro	9	
55	Beethoven,_Ludwig_van/Symphony_No.6,_Op.68/1	Erwachen heiterer Gefühle bei der Ankunft auf dem Lande. Allegro ma non troppo	10	
56	Beethoven,_Ludwig_van/Symphony_No.6,_Op.68/2	Scene am Bach. Andante molto mosso	10	
57	Beethoven,_Ludwig_van/Symphony_No.6,_Op.68/3	Lustiges Zusammensein der Landleute. Allegro	10	
58	Beethoven,_Ludwig_van/Symphony_No.6,_Op.68/4	Gewitter. Sturm. Allegro	10	
59	Beethoven,_Ludwig_van/Symphony_No.6,_Op.68/5	Hirtengesang. Frohe und dankbare Gefühle nach dem Sturm. Allegretto	10	
60	Beethoven,_Ludwig_van/Symphony_No.7,_Op.92/1	Poco sostenuto - Vivace	11	
61	Beethoven,_Ludwig_van/Symphony_No.7,_Op.92/2	Allegretto	11	
62	Beethoven,_Ludwig_van/Symphony_No.7,_Op.92/3	Presto	11	
63	Beethoven,_Ludwig_van/Symphony_No.7,_Op.92/4	Allegro con brio	11	The repeats nested inside the Segno markings (the first two repeats in the source edition) are written out due to MuseScore playback issues.
64	Beethoven,_Ludwig_van/Symphony_No.8,_Op.93/1	Allegro vivace e con brio	12	
65	Beethoven,_Ludwig_van/Symphony_No.8,_Op.93/2	Allegretto scherzando	12	
66	Beethoven,_Ludwig_van/Symphony_No.8,_Op.93/3	Tempo di Menuetto	12	
67	Beethoven,_Ludwig_van/Symphony_No.8,_Op.93/4	Allegro vivace	12	
68	Beethoven,_Ludwig_van/Symphony_No.9,_Op.125/1	Allegro ma non troppo, un poco maestoso	13	
69	Beethoven,_Ludwig_van/Symphony_No.9,_Op.125/2	Scherzo. Molto vivace - Presto	13	
70	Beethoven,_Ludwig_van/Symphony_No.9,_Op.125/3	Adagio molto e cantabile	13	
71	Beethoven,_Ludwig_van/Symphony_No.9,_Op.125/4	Presto	13	
72	Brahms,_Johannes/Ein_Deutsches_Requiem,_Op.45/1	Selig sind, die la Leid tragen	14	
73	Brahms,_Johannes/Symphony_No.1,_Op.68/1	Un poco sostenuto - Allegro	15	
74	Brahms,_Johannes/Symphony_No.1,_Op.68/2	Andante sostenuto	15	
75	Brahms,_Johannes/Symphony_No.1,_Op.68/3	Un poco Allegretto e grazioso	15	Horns and trumpets in B natural were obtained using horns and trumpets in C with manual transposition.
76	Brahms,_Johannes/Symphony_No.1,_Op.68/4	Adagio - Piu Andante - Allegro non troppo ma con brio	15	
77	Brahms,_Johannes/Symphony_No.2,_Op.73/1	Allegro non troppo	16	
78	Brahms,_Johannes/Symphony_No.2,_Op.73/2	Adagio non troppo	16	
79	Brahms,_Johannes/Symphony_No.2,_Op.73/3	Allegretto grazioso (quasi andantino)	16	
80	Brahms,_Johannes/Symphony_No.2,_Op.73/4	Allegro con spirito	16	
81	Brahms,_Johannes/Symphony_No.3,_Op.90/1	Allegro con brio	17	
82	Brahms,_Johannes/Symphony_No.3,_Op.90/2	Andante	17	
83	Brahms,_Johannes/Symphony_No.3,_Op.90/3	Poco allegretto	17	
84	Brahms,_Johannes/Symphony_No.3,_Op.90/4	Allegro	17	
85	Brahms,_Johannes/Symphony_No.4,_Op.98/1	Allegro non troppo	18	
86	Brahms,_Johannes/Symphony_No.4,_Op.98/2	Andante moderato	18	
87	Brahms,_Johannes/Symphony_No.4,_Op.98/3	Allegro giocoso	18	
88	Brahms,_Johannes/Symphony_No.4,_Op.98/4	Allegro energico e passionato	18	
89	Bruckner,_Anton/Symphony_No.5,_WAB.105/1	Adagio - Allegro	19	
90	Bruckner,_Anton/Symphony_No.5,_WAB.105/2	Adagio. Sehr langsam	19	
91	Bruckner,_Anton/Symphony_No.5,_WAB.105/3a	Scherzo. Molto vivace (schnell)	19	
92	Bruckner,_Anton/Symphony_No.5,_WAB.105/3b	Trio. Im gleichen Tempo	19	
93	Bruckner,_Anton/Symphony_No.5,_WAB.105/4	Adagio - Allegro moderato	19	
