qstamp_start,qstamp_end,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
0.0,3.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),,,,,
3.0,6.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),,,,,
6.0,9.0,,Main Part,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
9.0,12.0,,Main Part,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
12.0,21.0,,,Main Part,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
21.0,24.0,,U(Main),Main Part,,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
24.0,27.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),,U(Viola 3),U(Viola 2),Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
27.0,30.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),,U(Viola 3),U(Viola 2),Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
30.0,33.0,Main Part,U(Main)&U(Violin 3),U(Main)&U(Violin 2),,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
33.0,42.0,Main Part,U(Main)&U(Violin 3),U(Main)&U(Violin 2),,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
42.0,45.0,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
45.0,48.0,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
48.0,51.0,,,,,Main Part,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
51.0,57.0,,,,U(Main)&U(Viola 3),Main Part,U(Viola 1)&U(Main),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
57.0,60.0,Main Part,U(Violin 3),U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
60.0,72.0,Main Part,U(Violin 3),U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
72.0,75.0,,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),Main Part,,,,
75.0,78.0,,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),Main Part,,,,
78.0,81.0,,,,U(Main)&U(Viola 3),Main Part,U(Viola 1)&U(Main),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
81.0,84.0,,,,U(Main)&U(Viola 3),Main Part,U(Viola 1)&U(Main),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
84.0,93.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
93.0,96.0,Main Part,U(Violin 3),U(Violin 2),,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
96.0,99.0,U(Main)&U(Violin 3),Main Part,U(Violin 1)&U(Main),,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
99.0,102.0,U(Main)&U(Violin 3),Main Part,U(Violin 1)&U(Main),,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
102.0,105.0,U(Violin 2)&U(Main),U(Violin 1)&U(Main),Main Part,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
105.0,114.0,U(Violin 2)&U(Main),U(Violin 1)&U(Main),Main Part,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
114.0,117.0,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
117.0,120.0,,,,Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
120.0,123.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
123.0,129.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
129.0,132.0,Main Part,U(Violin 3),U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
132.0,144.0,Main Part,U(Violin 3),U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
144.0,150.0,U(Violin 2)&U(Violin 3),U(Violin 1)&U(Violin 3),U(Violin 1)&U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
150.0,156.0,,U(Violin 3),U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),Main Part,U(Main)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Main)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Main)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Main)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
156.0,168.0,,U(Violin 3),U(Violin 2),Main Part,U(Main)&U(Viola 3),U(Main)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
168.0,171.0,,,,Main Part,U(Main)&U(Viola 3),U(Main)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
171.0,174.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),,,,,
174.0,177.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
177.0,180.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
180.0,189.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
189.0,192.0,,Main Part,U(Main),,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
192.0,195.0,U(Main)&U(Violin 3),Main Part,U(Violin 1)&U(Main),,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
195.0,198.0,U(Violin 2)&U(Main),U(Violin 1)&U(Main),Main Part,,U(Viola 3),U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
198.0,201.0,U(Violin 2)&U(Main),U(Violin 1)&U(Main),Main Part,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
