qstamp,tstamp,measure,beat,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
0.0,0.0,1,1.0,r,r,r,r,r,D4,r,r,r
1.0,0.2609,1,1.5,r,r,r,r,r,D4,G3,r,G3
1.5,0.3913,1,1.75,r,r,r,r,r,D4,A3,r,A3
2.0,0.5217,1,2.0,r,r,r,r,r,G4,B3,r,B3
2.5,0.6522,1,2.25,r,r,r,r,r,G4,A3,r,A3
3.0,0.7826,1,2.5,r,r,r,r,r,G4,B3,r,B3
3.5,0.913,1,2.75,r,r,r,r,r,G4,G3,r,G3
4.0,1.0435,2,1.0,r,r,r,r,r,G4,A3,r,A3
4.5,1.1739,2,1.25,r,r,r,r,r,G4,G3,r,G3
5.0,1.3043,2,1.5,r,r,r,r,r,F#4,A3,r,A3
5.5,1.4348,2,1.75,r,r,r,r,r,G4,B3,r,B3
6.0,1.5652,2,2.0,r,r,r,r,r,A4,C4,r,C4
6.5,1.6957,2,2.25,r,r,r,r,r,A4,B3,r,B3
7.0,1.8261,2,2.5,r,r,r,r,r,G4,C4,r,C4
7.5,1.9565,2,2.75,r,r,r,r,r,F#4,A3,r,A3
8.0,2.087,3,1.0,r,r,r,r,r,G4,B3,r,B3
9.0,2.3478,3,1.5,r,r,r,r,r,D4,B3,r,B3
10.0,2.6087,3,2.0,r,r,r,r,r,E4,G3,r,G3
11.0,2.8696,3,2.5,r,r,r,r,r,B3,E3,r,E3
12.0,3.1304,4,1.0,r,r,r,r,r,C4,A3,r,A3
13.0,3.3913,4,1.5,r,r,r,r,r,A3,A3,r,A3
14.0,3.6522,4,2.0,r,r,r,r,r,D4,F#3,r,F#3
15.0,3.913,4,2.5,r,r,r,r,r,A3,D3,r,D3
16.0,4.1739,5,1.0,r,r,r,r,G4,B3,G3,r,G3
17.0,4.4348,5,1.5,r,r,r,r,G4,G3,B3,r,B3
17.5,4.5652,5,1.75,r,r,r,r,G4,A3,A3,r,A3
18.0,4.6957,5,2.0,r,r,r,r,D5,B3,G3,r,G3
19.0,4.9565,5,2.5,r,r,r,r,D5,C#4,F#3,r,F#3
19.5,5.087,5,2.75,r,r,r,r,D5,D4,F#3,r,F#3
20.0,5.2174,6,1.0,r,r,r,r,D5,E4,E3,r,E3
21.0,5.4783,6,1.5,r,r,r,r,C#5,F#4,E3,r,E3
21.5,5.6087,6,1.75,r,r,r,r,D5,F#4,E3,r,E3
22.0,5.7391,6,2.0,r,r,r,r,E5,G4,A3,r,A3
23.0,6.0,6,2.5,r,r,r,r,D5,A4,A3,r,A3
23.5,6.1304,6,2.75,r,r,r,r,C#5,A4,A3,r,A3
24.0,6.2609,7,1.0,r,r,r,r,D5,B4,D3,r,D3
25.0,6.5217,7,1.5,r,r,r,r,A4,C#5,D3,r,D3
26.0,6.7826,7,2.0,r,r,r,r,B4,D5,r,r,r
27.0,7.0435,7,2.5,r,r,r,r,F#4,D5,r,r,r
28.0,7.3043,8,1.0,r,r,r,r,G4,D5,r,r,r
29.0,7.5652,8,1.5,r,r,r,r,E4,D5,r,r,r
30.0,7.8261,8,2.0,r,r,r,r,A4,C#5,r,r,r
31.0,8.087,8,2.5,r,r,r,r,E4,C#5,r,r,r
32.0,8.3478,9,1.0,r,r,r,r,F#4,D5,r,r,r
33.0,8.6087,9,1.5,r,r,r,r,D4,D5,r,r,r
33.5,8.7391,9,1.75,r,r,r,r,E4,D5,r,r,r
34.0,8.8696,9,2.0,r,r,r,r,F#4,D4,r,r,r
35.0,9.1304,9,2.5,r,r,r,r,E4,D4,r,r,r
35.5,9.2609,9,2.75,r,r,r,r,D4,D4,r,r,r
36.0,9.3913,10,1.0,r,r,r,r,E4,D4,r,r,r
37.0,9.6522,10,1.5,r,r,r,r,F#4,D4,r,r,r
37.5,9.7826,10,1.75,r,r,r,r,G4,D4,r,r,r
38.0,9.913,10,2.0,r,r,r,r,A4,C4,r,r,r
39.0,10.1739,10,2.5,r,r,r,r,B4,C4,r,r,r
39.5,10.3043,10,2.75,r,r,r,r,C5,C4,r,r,r
40.0,10.4348,11,1.0,D5,r,r,D5,F#4,C4,r,r,r
41.0,10.6957,11,1.5,D5,r,r,D5,G4,C4,r,r,r
41.5,10.8261,11,1.75,D5,r,r,D5,A4,C4,r,r,r
42.0,10.9565,11,2.0,G5,r,r,G5,B4,B3,r,r,r
43.0,11.2174,11,2.5,G5,r,r,G5,A4,B3,r,r,r
43.5,11.3478,11,2.75,G5,r,r,G5,G4,B3,r,r,r
44.0,11.4783,12,1.0,G5,r,r,G5,C5,A3,r,r,r
45.0,11.7391,12,1.5,F#5,r,r,F#5,A4,A3,r,r,r
45.5,11.8696,12,1.75,G5,r,r,G5,B4,A3,r,r,r
46.0,12.0,12,2.0,A5,r,r,A5,C5,D4,r,r,r
47.0,12.2609,12,2.5,G5,r,r,G5,B4,D4,r,r,r
47.5,12.3913,12,2.75,F#5,r,r,F#5,A4,D4,r,r,r
48.0,12.5217,13,1.0,G5,r,r,G5,B4,G3,r,r,r
49.0,12.7826,13,1.5,D5,r,r,D5,B4,A3,r,r,r
49.5,12.913,13,1.75,D5,r,r,D5,B4,B3,r,r,r
50.0,13.0435,13,2.0,E5,r,r,E5,G4,C4,r,r,r
51.0,13.3043,13,2.5,B4,r,r,B4,G4,D4,r,r,r
51.5,13.4348,13,2.75,B4,r,r,B4,G4,E4,r,r,r
52.0,13.5652,14,1.0,C5,r,r,C5,G4,A3,r,r,r
53.0,13.8261,14,1.5,A4,r,r,A4,G4,B3,r,r,r
53.5,13.9565,14,1.75,A4,r,r,A4,G4,C4,r,r,r
54.0,14.087,14,2.0,D5,r,r,D5,F#4,D4,r,r,r
55.0,14.3478,14,2.5,A4,r,r,A4,A4,E4,r,r,r
55.5,14.4783,14,2.75,A4,r,r,A4,A4,F#4,r,r,r
56.0,14.6087,15,1.0,B4,r,r,B4,A4,G4,G3,G2,G3
57.0,14.8696,15,1.5,G4,r,r,G4,B4,D4,G3,G2,G3
57.5,15.0,15,1.75,A4,r,r,A4,A4,D4,G3,G2,G3
58.0,15.1304,15,2.0,B4,r,r,B4,G4,D4,D4,D3,D4
59.0,15.3913,15,2.5,C#5,r,r,C#5,F#4,E4,D4,D3,D4
59.5,15.5217,15,2.75,D5,r,r,D5,F#4,F#4,D4,D3,D4
60.0,15.6522,16,1.0,E5,r,r,E5,E4,G4,D4,D3,D4
61.0,15.913,16,1.5,F#5,r,r,F#5,E4,A4,C#4,C#3,C#4
61.5,16.0435,16,1.75,F#5,r,r,F#5,E4,B4,D4,D3,D4
62.0,16.1739,16,2.0,G5,r,r,G5,E5,C#4,E4,E3,E4
63.0,16.4348,16,2.5,A5,r,r,A5,E5,E4,D4,D3,D4
63.5,16.5652,16,2.75,A5,r,r,A5,E5,E4,C#4,C#3,C#4
64.0,16.6957,17,1.0,F#5,r,r,F#5,E5,A3,D4,D3,D4
65.0,16.9565,17,1.5,A5,r,r,A5,D5,A3,A3,A2,A3
65.5,17.087,17,1.75,A5,r,r,A5,C#5,A3,A3,A2,A3
66.0,17.2174,17,2.0,D5,r,r,D5,D5,F#4,B3,B2,B3
67.0,17.4783,17,2.5,D5,r,r,D5,A4,F#4,F#3,F#2,F#3
68.0,17.7391,18,1.0,D5,r,r,D5,B4,E4,G3,G2,G3
69.0,18.0,18,1.5,D5,r,r,D5,G4,E4,E3,E2,E3
70.0,18.2609,18,2.0,C#5,r,r,C#5,E4,E4,A3,A2,A3
71.0,18.5217,18,2.5,C#5,r,r,C#5,G4,E4,E3,E2,E3
72.0,18.7826,19,1.0,D5,r,r,D5,A4,D4,F#3,F#2,F#3
73.0,19.0435,19,1.5,A4,r,r,A4,F#4,A4,D3,D2,D3
73.5,19.1739,19,1.75,A4,r,r,A4,G4,G4,E3,E2,E3
74.0,19.3043,19,2.0,D5,r,r,D5,A4,F#4,F#3,F#2,F#3
75.0,19.5652,19,2.5,D5,r,r,D5,B4,E4,G#3,G#2,G#3
76.0,19.8261,20,1.0,D5,r,r,D5,B4,E4,A3,A2,A3
77.0,20.087,20,1.5,C5,r,r,C5,A4,E4,E3,E2,E3
77.5,20.2174,20,1.75,B4,r,r,B4,G#4,E4,E3,E2,E3
78.0,20.3478,20,2.0,C5,r,r,C5,A4,E4,A3,A2,A3
79.0,20.6087,20,2.5,D5,r,r,D5,B4,D4,A3,A2,A3
79.5,20.7391,20,2.75,D5,r,r,D5,B4,C4,A3,A2,A3
80.0,20.8696,21,1.0,E5,r,r,E5,E4,B3,A3,A2,A3
80.5,21.0,21,1.25,E5,r,r,E5,F#4,B3,A3,A2,A3
81.0,21.1304,21,1.5,B4,r,r,B4,G4,B4,G3,G2,G3
81.5,21.2609,21,1.75,B4,r,r,B4,A4,A4,F#3,F#2,F#3
82.0,21.3913,21,2.0,E5,r,r,E5,B4,G4,G3,G2,G3
83.0,21.6522,21,2.5,E5,r,r,E5,C5,F#4,A3,A2,A3
84.0,21.913,22,1.0,E5,r,r,E5,F#4,B4,B3,B2,B3
85.0,22.1739,22,1.5,D5,r,r,D5,F#4,B4,F#3,F#2,F#3
85.5,22.3043,22,1.75,C5,r,r,C5,F#4,B4,F#3,F#2,F#3
86.0,22.4348,22,2.0,D5,r,r,D5,F#4,B4,B3,B2,B3
87.0,22.6957,22,2.5,E5,r,r,E5,G4,C5,B3,B2,B3
87.5,22.8261,22,2.75,F#5,r,r,F#5,A4,C5,B3,B2,B3
88.0,22.9565,23,1.0,G5,G5,G5,G5,B4,D5,B3,B2,B3
89.0,23.2174,23,1.5,G5,G5,G5,G5,B4,B3,G2,G1,G2
89.5,23.3478,23,1.75,G5,G5,G5,G5,B4,C#4,A2,A1,A2
90.0,23.4783,23,2.0,F#5,D6,D6,F#5,B4,D4,B2,B1,B2
91.0,23.7391,23,2.5,F#5,D6,D6,F#5,B4,E4,C#3,C#2,C#3
91.5,23.8696,23,2.75,F#5,D6,D6,F#5,B4,F#4,D3,D2,D3
92.0,24.0,24,1.0,E5,D6,D6,E5,B4,G4,E3,E2,E3
93.0,24.2609,24,1.5,E5,C#6,C#6,E5,B4,G4,F#3,F#2,F#3
93.5,24.3913,24,1.75,E5,D6,D6,E5,B4,G4,F#3,F#2,F#3
94.0,24.5217,24,2.0,E5,E6,E6,E5,A4,C#4,G3,G2,G3
95.0,24.7826,24,2.5,E5,D6,D6,E5,A4,C#4,A3,A2,A3
95.5,24.913,24,2.75,E5,C#6,C#6,E5,A4,C#4,A3,A2,A3
96.0,25.0435,25,1.0,D5,D6,D6,D5,A4,B3,B3,B2,B3
97.0,25.3043,25,1.5,D5,A5,A5,D5,G4,E4,C#4,C#3,C#4
98.0,25.5652,25,2.0,r,B5,B5,r,F#4,D4,D4,D3,D4
98.5,25.6957,25,2.25,D5,B5,B5,D5,F#4,D4,D4,D3,D4
99.0,25.8261,25,2.5,C#5,F#5,F#5,C#5,B4,F#4,D4,D3,D4
99.5,25.9565,25,2.75,D5,F#5,F#5,D5,B4,F#4,D4,D3,D4
100.0,26.087,26,1.0,E5,G5,G5,E5,B4,E4,D4,D3,D4
100.5,26.2174,26,1.25,D5,G5,G5,D5,B4,E4,D4,D3,D4
101.0,26.3478,26,1.5,E5,E5,E5,E5,G4,B4,D4,D3,D4
101.5,26.4783,26,1.75,F#5,E5,E5,F#5,G4,B4,D4,D3,D4
102.0,26.6087,26,2.0,E5,A5,A5,E5,E4,A4,C#4,C#3,C#4
102.5,26.7391,26,2.25,F#5,A5,A5,F#5,E4,A4,C#4,C#3,C#4
103.0,26.8696,26,2.5,G5,E5,E5,G5,A4,A4,C#4,C#3,C#4
103.5,27.0,26,2.75,A5,E5,E5,A5,A4,A4,C#4,C#3,C#4
104.0,27.1304,27,1.0,F#5,F#5,F#5,F#5,A4,D4,D4,D3,D4
105.0,27.3913,27,1.5,A5,D5,D5,A5,F#4,D4,C#4,C#3,C#4
106.0,27.6522,27,2.0,D6,r,r,D6,D4,F#4,B3,B2,B3
106.5,27.7826,27,2.25,D6,D5,D5,D6,D4,F#4,B3,B2,B3
107.0,27.913,27,2.5,D6,C#5,C#5,D6,F#4,F#4,A3,A2,A3
107.5,28.0435,27,2.75,D6,D5,D5,D6,F#4,F#4,A3,A2,A3
108.0,28.1739,28,1.0,D6,E5,E5,D6,B4,G4,G3,G2,G3
108.5,28.3043,28,1.25,D6,D5,D5,D6,B4,G4,G3,G2,G3
109.0,28.4348,28,1.5,D6,E5,E5,D6,E5,G4,E3,E2,E3
109.5,28.5652,28,1.75,D6,F#5,F#5,D6,E5,G4,E3,E2,E3
110.0,28.6957,28,2.0,C6,E5,E5,C6,E5,A4,A3,A2,A3
110.5,28.8261,28,2.25,C6,F#5,F#5,C6,D5,A4,A3,A2,A3
111.0,28.9565,28,2.5,C6,G5,G5,C6,E5,A4,A2,A1,A2
111.5,29.087,28,2.75,C6,A5,A5,C6,F#5,A4,A2,A1,A2
112.0,29.2174,29,1.0,C6,F#5,F#5,C6,D5,A4,D3,D2,D3
112.5,29.3478,29,1.25,C6,G5,G5,C6,D5,A4,D3,D2,D3
113.0,29.4783,29,1.5,C6,E5,E5,C6,D5,A4,C3,C2,C3
113.5,29.6087,29,1.75,C6,F#5,F#5,C6,D5,A4,D3,D2,D3
114.0,29.7391,29,2.0,B5,G5,G5,B5,r,G4,E3,E2,E3
114.5,29.8696,29,2.25,B5,A5,A5,B5,G4,G4,E3,E2,E3
115.0,30.0,29,2.5,B5,F#5,F#5,B5,A4,G4,D3,D2,D3
115.5,30.1304,29,2.75,B5,G5,G5,B5,B4,G4,D3,D2,D3
116.0,30.2609,30,1.0,A5,A5,A5,A5,C5,G4,C3,C2,C3
116.5,30.3913,30,1.25,A5,G5,G5,A5,B4,G4,C3,C2,C3
117.0,30.5217,30,1.5,A5,A5,A5,A5,C5,F4,A2,A1,A2
117.5,30.6522,30,1.75,A5,B5,B5,A5,D5,E4,A2,A1,A2
118.0,30.7826,30,2.0,A5,A5,A5,A5,C5,F4,D3,D2,D3
118.5,30.913,30,2.25,A5,B5,B5,A5,C5,F4,D3,D2,D3
119.0,31.0435,30,2.5,A5,C6,C6,A5,A4,F4,D2,D1,D2
119.5,31.1739,30,2.75,A5,D6,D6,A5,A4,F4,D2,D1,D2
120.0,31.3043,31,1.0,G5,B5,B5,G5,B4,F4,G2,G1,G2
120.5,31.4348,31,1.25,A5,C6,C6,A5,B4,F4,G2,G1,G2
121.0,31.5652,31,1.5,F5,A5,A5,F5,D5,B3,G3,G2,G3
121.5,31.6957,31,1.75,G5,B5,B5,G5,D5,B3,G3,G2,G3
122.0,31.8261,31,2.0,E5,C6,C6,E5,C5,E4,A3,A2,A3
122.5,31.9565,31,2.25,F#5,C6,C6,F#5,C5,E4,A3,A2,A3
123.0,32.087,31,2.5,G5,C6,C6,G5,E5,C4,G3,G2,G3
123.5,32.2174,31,2.75,A5,C6,C6,A5,E5,C4,G3,G2,G3
124.0,32.3478,32,1.0,D5,C6,C6,D5,A4,D4,F#3,F#2,F#3
124.5,32.4783,32,1.25,C5,C6,C6,C5,A4,D4,F#3,F#2,F#3
125.0,32.6087,32,1.5,D5,C6,C6,D5,A5,F#4,D3,D2,D3
125.5,32.7391,32,1.75,E5,C6,C6,E5,A5,F#4,D3,D2,D3
126.0,32.8696,32,2.0,D5,B5,B5,D5,A5,G4,G3,G2,G3
126.5,33.0,32,2.25,E5,B5,B5,E5,A5,G4,G3,G2,G3
127.0,33.1304,32,2.5,F#5,B5,B5,F#5,D5,G4,F#3,F#2,F#3
127.5,33.2609,32,2.75,G5,B5,B5,G5,D5,G4,F#3,F#2,F#3
128.0,33.3913,33,1.0,C5,B5,B5,C5,G5,G4,E3,E2,E3
128.5,33.5217,33,1.25,B4,B5,B5,B4,G5,G4,E3,E2,E3
129.0,33.6522,33,1.5,C5,B5,B5,C5,E5,A4,A3,A2,A3
129.5,33.7826,33,1.75,D5,B5,B5,D5,E5,B4,A3,A2,A3
130.0,33.913,33,2.0,C5,A5,A5,C5,A5,C5,F#3,F#2,F#3
130.5,34.0435,33,2.25,E5,A5,A5,E5,A5,C5,F#3,F#2,F#3
131.0,34.1739,33,2.5,D5,A5,A5,D5,F#5,B4,D3,D2,D3
131.5,34.3043,33,2.75,C5,A5,A5,C5,F#5,A4,D3,D2,D3
132.0,34.4348,34,1.0,B4,A5,A5,B4,D5,B4,G3,G2,G3
132.5,34.5652,34,1.25,A4,A5,A5,A4,D5,B4,G3,G2,G3
133.0,34.6957,34,1.5,B4,A5,A5,B4,F#5,D5,D3,D2,D3
133.5,34.8261,34,1.75,C5,A5,A5,C5,F#5,D5,D3,D2,D3
134.0,34.9565,34,2.0,B4,G5,G5,B4,G5,G4,E3,E2,E3
134.5,35.087,34,2.25,C5,G5,G5,C5,G5,G4,E3,E2,E3
135.0,35.2174,34,2.5,D5,G5,G5,D5,D5,B4,B2,B1,B2
135.5,35.3478,34,2.75,E5,G5,G5,E5,D5,B4,B2,B1,B2
136.0,35.4783,35,1.0,A4,G5,G5,A4,E5,E4,C3,C2,C3
136.5,35.6087,35,1.25,A4,G5,G5,A4,D5,E4,C3,C2,C3
137.0,35.7391,35,1.5,A4,A5,A5,A4,C5,E4,A2,A1,A2
137.5,35.8696,35,1.75,A4,G5,G5,A4,B4,E4,A2,A1,A2
138.0,36.0,35,2.0,A4,F#5,F#5,A4,A4,F#4,D3,D2,D3
138.5,36.1304,35,2.25,A4,G5,G5,A4,B4,F#4,D3,D2,D3
139.0,36.2609,35,2.5,A4,E5,E5,A4,C5,F#4,A2,A1,A2
139.5,36.3913,35,2.75,A4,F#5,F#5,A4,D5,F#4,A2,A1,A2
140.0,36.5217,36,1.0,A4,D5,D5,A4,B4,F#4,B2,B1,B2
141.0,36.7826,36,1.5,G4,D5,D5,G4,B4,B4,B2,B1,B2
141.5,36.913,36,1.75,F#4,D5,D5,F#4,B4,A4,B2,B1,B2
142.0,37.0435,36,2.0,G4,G5,G5,G4,B4,G4,E3,E2,E3
143.0,37.3043,36,2.5,A4,G5,G5,A4,B4,F#4,E3,E2,E3
143.5,37.4348,36,2.75,B4,G5,G5,B4,B4,G4,E3,E2,E3
144.0,37.5652,37,1.0,C5,G5,G5,C5,A4,E4,A2,A1,A2
145.0,37.8261,37,1.5,A4,F#5,F#5,A4,A4,A4,A2,A1,A2
145.5,37.9565,37,1.75,B4,G5,G5,B4,A4,G4,A2,A1,A2
146.0,38.087,37,2.0,C5,A5,A5,C5,A4,F#4,D3,D2,D3
146.5,38.2174,37,2.25,C5,A5,A5,C5,A4,E4,D3,D2,D3
147.0,38.3478,37,2.5,B4,G5,G5,B4,A4,D4,D3,D2,D3
147.5,38.4783,37,2.75,A4,F#5,F#5,A4,A4,D4,D3,D2,D3
148.0,38.6087,38,1.0,B4,G5,G5,B4,G4,D4,G2,G1,G2
148.5,38.7391,38,1.25,B4,G5,G5,B4,F#4,D4,G2,G1,G2
149.0,38.8696,38,1.5,B4,D5,D5,B4,G4,E4,G2,G1,G2
149.5,39.0,38,1.75,B4,D5,D5,B4,A4,F#4,G2,G1,G2
150.0,39.1304,38,2.0,r,E5,E5,r,B4,G4,G3,G2,G3
150.5,39.2609,38,2.25,r,E5,E5,r,C5,A4,G3,G2,G3
151.0,39.3913,38,2.5,D5,B4,B4,D5,D5,B4,G3,G2,G3
151.5,39.5217,38,2.75,D5,B4,B4,D5,E5,C5,G3,G2,G3
152.0,39.6522,39,1.0,E5,C5,C5,E5,C5,A4,G3,G2,G3
152.5,39.7826,39,1.25,E5,C5,C5,E5,D5,A4,G3,G2,G3
153.0,39.913,39,1.5,F#5,A4,A4,F#5,C5,A4,G3,G2,G3
153.5,40.0435,39,1.75,G5,A4,A4,G5,B4,A4,G3,G2,G3
154.0,40.1739,39,2.0,A5,D5,D5,A5,A4,A4,F#3,F#2,F#3
154.5,40.3043,39,2.25,A5,D5,D5,A5,B4,G4,F#3,F#2,F#3
155.0,40.4348,39,2.5,A5,A4,A4,A5,C5,F#4,F#3,F#2,F#3
155.5,40.5652,39,2.75,A5,A4,A4,A5,D5,E4,F#3,F#2,F#3
156.0,40.6957,40,1.0,A5,B4,B4,A5,B4,D4,G3,G2,G3
156.5,40.8261,40,1.25,A5,C5,C5,A5,A4,D4,G3,G2,G3
157.0,40.9565,40,1.5,G5,D5,D5,G5,B4,G4,C3,C2,C3
157.5,41.087,40,1.75,G5,E5,E5,G5,C5,G4,C3,C2,C3
158.0,41.2174,40,2.0,G5,A4,A4,G5,A4,D5,D3,D2,D3
159.0,41.4783,40,2.5,F#5,A4,A4,F#5,D5,A4,D2,D1,D2
159.5,41.6087,40,2.75,F#5,G4,G4,F#5,D5,A4,D2,D1,D2
160.0,41.7391,41,1.0,G5,G4,G4,G5,D5,B4,G2,G1,G2
160.5,41.8696,41,1.25,D5,G4,G4,G5,D5,B4,G2,G1,G2
161.0,42.0,41,1.5,B4,G4,G4,G5,D5,B4,G2,G1,G2
161.5,42.1304,41,1.75,G5,G4,G4,G5,D5,B4,G2,G1,G2
162.0,42.2609,41,2.0,D5,r,r,r,r,r,r,r,r
162.5,42.3913,41,2.25,B4,r,r,r,r,r,r,r,r
163.0,42.5217,41,2.5,G4,r,r,r,r,r,r,r,r
163.5,42.6522,41,2.75,D5,r,r,r,r,r,r,r,r
164.0,42.7826,42,1.0,B4,r,r,r,r,r,r,r,r
164.5,42.913,42,1.25,G4,r,r,r,r,r,r,r,r
165.0,43.0435,42,1.5,D4,r,r,r,r,r,r,r,r
165.5,43.1739,42,1.75,B4,r,r,r,r,r,r,r,r
166.0,43.3043,42,2.0,G4,r,r,r,r,r,r,r,r
166.5,43.4348,42,2.25,D4,r,r,r,r,r,r,r,r
167.0,43.5652,42,2.5,B3,r,r,r,r,r,r,r,r
167.5,43.6957,42,2.75,D4,r,r,r,r,r,r,r,r
168.0,43.8261,43,1.0,G3,D5,r,r,r,r,r,r,r
168.5,43.9565,43,1.25,B3,D5,r,r,r,r,r,r,r
169.0,44.087,43,1.5,C4,D5,r,r,r,r,r,r,r
169.5,44.2174,43,1.75,D4,D5,r,r,r,r,r,r,r
170.0,44.3478,43,2.0,E4,G5,r,r,r,r,r,r,r
170.5,44.4783,43,2.25,F#4,G5,r,r,r,r,r,r,r
171.0,44.6087,43,2.5,G4,G5,r,r,r,r,r,r,r
171.5,44.7391,43,2.75,B3,G5,r,r,r,r,r,r,r
172.0,44.8696,44,1.0,A3,G5,r,r,r,r,r,r,r
172.5,45.0,44,1.25,C4,G5,r,r,r,r,r,r,r
173.0,45.1304,44,1.5,D4,F#5,r,r,r,r,r,r,r
173.5,45.2609,44,1.75,E4,G5,r,r,r,r,r,r,r
174.0,45.3913,44,2.0,F#4,A5,r,r,r,r,r,r,r
174.5,45.5217,44,2.25,G4,A5,r,r,r,r,r,r,r
175.0,45.6522,44,2.5,A4,G5,r,r,r,r,r,r,r
175.5,45.7826,44,2.75,C4,F#5,r,r,r,r,r,r,r
176.0,45.913,45,1.0,B3,G5,D5,r,r,r,r,r,r
176.5,46.0435,45,1.25,D4,G5,D5,r,r,r,r,r,r
177.0,46.1739,45,1.5,E4,D5,D5,r,r,r,r,r,r
177.5,46.3043,45,1.75,F#4,D5,D5,r,r,r,r,r,r
178.0,46.4348,45,2.0,G4,E5,G5,r,r,r,r,r,r
178.5,46.5652,45,2.25,A4,E5,G5,r,r,r,r,r,r
179.0,46.6957,45,2.5,B4,B4,G5,r,r,r,r,r,r
179.5,46.8261,45,2.75,F4,B4,G5,r,r,r,r,r,r
180.0,46.9565,46,1.0,E4,C5,G5,r,r,r,r,r,r
180.5,47.087,46,1.25,G4,C5,G5,r,r,r,r,r,r
181.0,47.2174,46,1.5,A4,A4,F#5,r,r,r,r,r,r
181.5,47.3478,46,1.75,B4,A4,G5,r,r,r,r,r,r
182.0,47.4783,46,2.0,C5,D5,A5,r,r,r,r,r,r
182.5,47.6087,46,2.25,E5,D5,A5,r,r,r,r,r,r
183.0,47.7391,46,2.5,D5,A4,G5,r,r,r,r,r,r
183.5,47.8696,46,2.75,C5,A4,F#5,r,r,r,r,r,r
184.0,48.0,47,1.0,B4,B4,G5,r,r,r,r,r,r
184.5,48.1304,47,1.25,D5,B4,F#5,r,r,r,r,r,r
185.0,48.2609,47,1.5,E5,B4,G5,r,r,r,r,r,r
185.5,48.3913,47,1.75,F#5,B4,A5,r,r,r,r,r,r
186.0,48.5217,47,2.0,G5,B5,B5,r,r,r,r,r,r
186.5,48.6522,47,2.25,A5,B5,A5,r,r,r,r,r,r
187.0,48.7826,47,2.5,B5,B5,G5,r,r,r,r,r,r
187.5,48.913,47,2.75,D5,B5,F#5,r,r,r,r,r,r
188.0,49.0435,48,1.0,C#5,B5,E5,r,r,r,r,r,r
188.5,49.1739,48,1.25,B5,B5,E5,r,r,r,r,r,r
189.0,49.3043,48,1.5,G5,B5,G5,r,r,r,r,r,r
189.5,49.4348,48,1.75,E5,B5,G5,r,r,r,r,r,r
190.0,49.5652,48,2.0,C#5,B5,E5,r,r,r,r,r,r
190.5,49.6957,48,2.25,G5,B5,E5,r,r,r,r,r,r
191.0,49.8261,48,2.5,E5,B5,C#5,r,r,r,r,r,r
191.5,49.9565,48,2.75,C#5,B5,C#5,r,r,r,r,r,r
192.0,50.087,49,1.0,F#4,A5,r,r,r,r,r,r,r
192.5,50.2174,49,1.25,C#5,A5,E5,r,r,r,r,r,r
193.0,50.3478,49,1.5,D5,A5,F#5,r,r,r,r,r,r
193.5,50.4783,49,1.75,E5,A5,G5,r,r,r,r,r,r
194.0,50.6087,49,2.0,F#5,A5,A5,r,r,r,r,r,r
194.5,50.7391,49,2.25,G5,A5,G5,r,r,r,r,r,r
195.0,50.8696,49,2.5,A5,A5,F#5,r,r,r,r,r,r
195.5,51.0,49,2.75,C#5,A5,E5,r,r,r,r,r,r
196.0,51.1304,50,1.0,B4,A5,D5,r,r,r,r,r,r
196.5,51.2609,50,1.25,A5,A5,D5,r,r,r,r,r,r
197.0,51.3913,50,1.5,F#5,A5,F#5,r,r,r,r,r,r
197.5,51.5217,50,1.75,D5,A5,F#5,r,r,r,r,r,r
198.0,51.6522,50,2.0,B4,A5,D5,r,r,r,r,r,r
198.5,51.7826,50,2.25,F#5,A5,D5,r,r,r,r,r,r
199.0,51.913,50,2.5,D5,A5,B4,r,r,r,r,r,r
199.5,52.0435,50,2.75,B4,A5,B4,r,r,r,r,r,r
200.0,52.1739,51,1.0,E4,G5,r,r,r,r,r,r,r
200.5,52.3043,51,1.25,B4,G5,D5,r,r,r,r,r,r
201.0,52.4348,51,1.5,C#5,G5,E5,r,r,r,r,r,r
201.5,52.5652,51,1.75,D5,G5,F#5,r,r,r,r,r,r
202.0,52.6957,51,2.0,E5,G5,G5,r,r,r,r,r,r
202.5,52.8261,51,2.25,F#5,G5,F#5,r,r,r,r,r,r
203.0,52.9565,51,2.5,G5,G5,E5,r,r,r,r,r,r
203.5,53.087,51,2.75,B4,G5,D5,r,r,r,r,r,r
204.0,53.2174,52,1.0,A4,G5,C#5,r,r,r,r,r,r
204.5,53.3478,52,1.25,G5,G5,C#5,r,r,r,r,r,r
