score_qstamp,qstamp,measure,beat,831991_tstamp,718691_tstamp
0.0,0.0,1,1.0,0.48,0.7
0.5,0.5,1,1.5,0.7925,1.0125
1.0,1.0,1,2.0,1.105,1.365
1.5,1.5,1,2.5,1.4175,1.8375
2.0,2.0,2,1.0,1.85,2.15
2.5,2.5,2,1.5,2.1625,2.4625
3.0,3.0,2,2.0,2.515,2.81
3.5,3.5,2,2.5,2.8275,3.1675
4.0,4.0,3,1.0,3.16,3.48
4.5,4.5,3,1.5,3.4725,3.9125
5.0,5.0,3,2.0,3.865,4.225
5.5,5.5,3,2.5,4.1975,4.5375
6.0,6.0,4,1.0,4.53,4.92
6.5,6.5,4,1.5,4.9025,5.3025
7.0,7.0,4,2.0,5.235,5.635
7.5,7.5,4,2.5,5.5475,5.9675
8.0,8.0,5,1.0,5.86,6.28
8.5,8.5,5,1.5,6.3325,6.6325
9.0,9.0,5,2.0,6.645,6.985
9.5,9.5,5,2.5,6.9575,7.3575
10.0,10.0,6,1.0,7.33,7.73
10.5,10.5,6,1.5,7.6625,8.0425
11.0,11.0,6,2.0,7.995,8.355
11.5,11.5,6,2.5,8.3075,8.675
12.0,12.0,7,1.0,8.72,9.02
12.5,12.5,7,1.5,9.0325,9.3725
13.0,13.0,7,2.0,9.345,9.685
13.5,13.5,7,2.5,9.6775,9.9975
14.0,14.0,8,1.0,10.07,10.31
14.5,14.5,8,1.5,10.3825,10.645
15.0,15.0,8,2.0,10.695,11.015
15.5,15.5,8,2.5,11.0675,11.3275
16.0,16.0,9,1.0,11.38,11.64
16.5,16.5,9,1.5,11.7325,11.9525
17.0,17.0,9,2.0,12.145,12.33
17.5,17.5,9,2.5,12.4575,12.6575
18.0,18.0,10,1.0,12.77,13.01
18.5,18.5,10,1.5,13.1825,13.3425
19.0,19.0,10,2.0,13.495,13.675
19.5,19.5,10,2.5,13.8075,13.9875
20.0,20.0,11,1.0,14.12,14.3
20.25,20.25,11,1.25,14.3162,14.4562
20.5,20.5,11,1.5,14.4725,14.6125
20.75,20.75,11,1.75,14.6688,14.8776
21.0,21.0,11,2.0,14.85,15.045
21.25,21.25,11,2.25,15.0212,15.2012
21.5,21.5,11,2.5,15.1775,15.3575
21.75,21.75,11,2.75,15.3338,15.5138
22.0,22.0,12,1.0,15.49,15.67
22.25,22.25,12,1.25,15.7262,15.8262
22.5,22.5,12,1.5,15.8825,15.9825
22.75,22.75,12,1.75,16.0388,16.1388
23.0,23.0,12,2.0,16.235,16.315
23.25,23.25,12,2.25,16.3912,16.4712
23.5,23.5,12,2.5,16.5475,16.6238
23.75,23.75,12,2.75,16.7038,16.7638
24.0,24.0,13,1.0,16.86,16.92
24.25,24.25,13,1.25,17.0962,17.0962
24.5,24.5,13,1.5,17.2525,17.2525
24.75,24.75,13,1.75,17.4088,17.4088
25.0,25.0,13,2.0,17.575,17.565
25.25,25.25,13,2.25,17.7612,17.7412
25.5,25.5,13,2.5,17.9175,17.8975
25.75,25.75,13,2.75,18.0738,18.0538
26.0,26.0,14,1.0,18.23,18.21
26.25,26.25,14,1.25,18.5324,18.3662
26.5,26.5,14,1.5,18.7225,18.5225
26.75,26.75,14,1.75,18.8788,18.6788
27.0,27.0,14,2.0,19.035,18.835
27.25,27.25,14,2.25,19.1912,18.9912
27.5,27.5,14,2.5,19.3675,19.1675
27.75,27.75,14,2.75,19.5238,19.3238
28.0,28.0,15,1.0,19.68,19.48
28.25,28.25,15,1.25,19.9362,19.6562
28.5,28.5,15,1.5,20.0925,19.8325
28.75,28.75,15,1.75,20.2488,19.9888
29.0,29.0,15,2.0,20.405,20.145
29.25,29.25,15,2.25,20.5612,20.3012
29.5,29.5,15,2.5,20.7175,20.4575
29.75,29.75,15,2.75,20.8738,20.6138
30.0,30.0,16,1.0,21.09,20.77
30.25,30.25,16,1.25,21.3462,21.0062
30.5,30.5,16,1.5,21.5025,21.1625
30.75,30.75,16,1.75,21.6588,21.3188
31.0,31.0,16,2.0,21.815,21.475
31.25,31.25,16,2.25,21.9712,21.6312
31.5,31.5,16,2.5,22.1275,21.7875
31.75,31.75,16,2.75,22.2838,21.9438
32.0,32.0,17,1.0,22.44,22.1
32.25,32.25,17,1.25,22.7162,22.2762
32.5,32.5,17,1.5,22.8725,22.4325
32.75,32.75,17,1.75,23.0288,22.5888
33.0,33.0,17,2.0,23.185,22.745
33.25,33.25,17,2.25,23.3412,22.9012
33.5,33.5,17,2.5,23.4975,23.0575
33.75,33.75,17,2.75,23.6538,23.2138
34.0,34.0,18,1.0,23.87,23.37
34.25,34.25,18,1.25,24.1062,23.5262
34.5,34.5,18,1.5,24.2625,23.6825
34.75,34.75,18,1.75,24.4188,23.8388
35.0,35.0,18,2.0,24.595,24.015
35.25,35.25,18,2.25,24.8312,24.2512
35.5,35.5,18,2.5,24.9875,24.4075
35.75,35.75,18,2.75,25.1438,24.6038
36.0,36.0,19,1.0,25.3,24.78
36.3333,36.3333,19,1.3333,25.5483,24.9883
36.5,36.5,19,1.5,25.6525,25.1125
36.6667,36.6667,19,1.6667,25.8967,25.2367
37.0,37.0,19,2.0,26.105,25.465
37.3333,37.3333,19,2.3333,26.3133,25.6933
37.5,37.5,19,2.5,26.4175,25.8175
37.6667,37.6667,19,2.6667,26.5217,25.9217
38.0,38.0,20,1.0,26.77,26.25
38.3333,38.3333,20,1.3333,26.9983,26.5183
38.5,38.5,20,1.5,27.1025,26.6225
38.6667,38.6667,20,1.6667,27.2067,26.7467
39.0,39.0,20,2.0,27.535,26.955
39.3333,39.3333,20,2.3333,27.7433,27.1633
39.5,39.5,20,2.5,27.8475,27.2675
39.6667,39.6667,20,2.6667,27.9717,27.3717
40.0,40.0,21,1.0,28.18,27.62
40.3333,40.3333,21,1.3333,28.4483,27.8283
40.5,40.5,21,1.5,28.5525,27.9325
40.6667,40.6667,21,1.6667,28.6767,28.0367
41.0,41.0,21,2.0,28.885,28.285
41.3333,41.3333,21,2.3333,29.0933,28.4933
41.5,41.5,21,2.5,29.1975,28.5975
41.6667,41.6667,21,2.6667,29.3017,28.7217
42.0,42.0,22,1.0,29.53,28.97
42.3333,42.3333,22,1.3333,29.8183,29.2783
42.5,42.5,22,1.5,29.9225,29.3825
42.6667,42.6667,22,1.6667,30.0467,29.4867
43.0,43.0,22,2.0,30.255,29.695
43.5,43.5,22,2.5,30.695,30.0075
44.0,44.0,23,1.0,31.02,30.32
44.5,44.5,23,1.5,31.3325,30.6325
45.0,45.0,23,2.0,31.645,30.985
45.5,45.5,23,2.5,31.9775,31.2975
46.0,46.0,24,1.0,32.37,31.65
46.5,46.5,24,1.5,32.6825,31.9625
47.0,47.0,24,2.0,32.995,32.275
47.5,47.5,24,2.5,33.315,32.6075
48.0,48.0,25,1.0,33.66,32.98
48.5,48.5,25,1.5,34.0925,33.4525
49.0,49.0,25,2.0,34.405,33.77
49.5,49.5,25,2.5,34.7175,34.0975
50.0,50.0,26,1.0,35.07,34.41
50.5,50.5,26,1.5,35.4225,34.7225
51.0,51.0,26,2.0,35.795,35.035
51.5,51.5,26,2.5,36.1075,35.3475
52.0,52.0,27,1.0,36.48,35.66
52.5,52.5,27,1.5,36.7925,35.9925
53.0,53.0,27,2.0,37.195,36.365
53.5,53.5,27,2.5,37.5375,36.6775
54.0,54.0,28,1.0,37.85,37.01
54.5,54.5,28,1.5,38.1825,37.3825
55.0,55.0,28,2.0,38.515,37.695
55.5,55.5,28,2.5,38.8475,38.0075
56.0,56.0,29,1.0,39.16,38.32
56.5,56.5,29,1.5,39.5725,38.6325
57.0,57.0,29,2.0,39.905,38.965
57.5,57.5,29,2.5,40.2175,39.2775
58.0,58.0,30,1.0,40.57,39.61
58.5,58.5,30,1.5,40.9825,39.9625
59.0,59.0,30,2.0,41.315,40.275
59.5,59.5,30,2.5,41.6275,40.6075
60.0,60.0,31,1.0,41.94,40.92
60.5,60.5,31,1.5,42.2725,41.4525
61.0,61.0,31,2.0,42.605,41.765
61.5,61.5,31,2.5,42.9975,42.0775
62.0,62.0,32,1.0,43.33,42.39
62.5,62.5,32,1.5,43.6425,42.7025
63.0,63.0,32,2.0,43.955,43.035
63.5,63.5,32,2.5,44.2875,43.3875
64.0,64.0,33,1.0,44.6,43.7
64.25,64.25,33,1.25,44.9134,43.8562
64.5,64.5,33,1.5,45.0925,44.0125
64.75,64.75,33,1.75,45.2488,44.3064
65.0,65.0,33,2.0,45.425,44.485
65.25,65.25,33,2.25,45.5812,44.6412
65.5,65.5,33,2.5,45.7375,44.7975
65.75,65.75,33,2.75,45.8938,44.9538
66.0,66.0,34,1.0,46.05,45.11
66.25,66.25,34,1.25,46.2662,45.2662
66.5,66.5,34,1.5,46.4225,45.3825
66.75,66.75,34,1.75,46.5788,45.5388
67.0,67.0,34,2.0,46.815,45.695
67.25,67.25,34,2.25,46.9912,45.8512
67.5,67.5,34,2.5,47.1475,46.0075
67.75,67.75,34,2.75,47.3038,46.1638
68.0,68.0,35,1.0,47.46,46.32
68.25,68.25,35,1.25,47.7362,46.5162
68.5,68.5,35,1.5,47.8925,46.6725
68.75,68.75,35,1.75,48.0488,46.8288
69.0,69.0,35,2.0,48.205,47.005
69.25,69.25,35,2.25,48.3812,47.1612
69.5,69.5,35,2.5,48.5375,47.3175
69.75,69.75,35,2.75,48.6938,47.4738
70.0,70.0,36,1.0,48.87,47.63
70.25,70.25,36,1.25,49.1262,47.7986
70.5,70.5,36,1.5,49.2825,47.9825
70.75,70.75,36,1.75,49.4388,48.1388
71.0,71.0,36,2.0,49.615,48.295
71.25,71.25,36,2.25,49.7912,48.4912
71.5,71.5,36,2.5,49.9475,48.6475
71.75,71.75,36,2.75,50.1038,48.8038
72.0,72.0,37,1.0,50.26,48.96
72.25,72.25,37,1.25,50.4762,49.1762
72.5,72.5,37,1.5,50.6325,49.3325
72.75,72.75,37,1.75,50.7976,49.4888
73.0,73.0,37,2.0,50.985,49.645
73.25,73.25,37,2.25,51.1412,49.8012
73.5,73.5,37,2.5,51.2975,49.9575
73.75,73.75,37,2.75,51.4538,50.1138
74.0,74.0,38,1.0,51.68,50.27
74.25,74.25,38,1.25,51.9262,50.5862
74.5,74.5,38,1.5,52.1225,50.7425
74.75,74.75,38,1.75,52.2788,50.8988
75.0,75.0,38,2.0,52.435,51.055
75.25,75.25,38,2.25,52.6312,51.2112
75.5,75.5,38,2.5,52.7875,51.3675
75.75,75.75,38,2.75,52.9438,51.5238
76.0,76.0,39,1.0,53.1,51.7
76.25,76.25,39,1.25,53.3162,51.9162
76.5,76.5,39,1.5,53.4725,52.0725
76.75,76.75,39,1.75,53.664,52.2488
77.0,77.0,39,2.0,53.865,52.405
77.25,77.25,39,2.25,54.0212,52.5812
77.5,77.5,39,2.5,54.1775,52.7375
77.75,77.75,39,2.75,54.3338,52.8938
78.0,78.0,40,1.0,54.49,53.06
78.25,78.25,40,1.25,54.6862,53.4462
78.5,78.5,40,1.5,54.8825,53.6225
78.75,78.75,40,1.75,55.0988,53.7788
79.0,79.0,40,2.0,55.255,53.935
79.25,79.25,40,2.25,55.4112,54.1112
79.5,79.5,40,2.5,55.5875,54.2675
79.75,79.75,40,2.75,55.8038,54.4238
80.0,80.0,41,1.0,55.96,54.58
80.25,80.25,41,1.25,56.1162,54.7362
80.5,80.5,41,1.5,56.2725,54.8925
80.75,80.75,41,1.75,56.4888,55.0488
81.0,81.0,41,2.0,56.67,55.225
81.25,81.25,41,2.25,56.9012,55.3812
81.5,81.5,41,2.5,57.0575,55.5375
81.75,81.75,41,2.75,57.2138,55.6938
82.0,82.0,42,1.0,57.37,55.87
82.25,82.25,42,1.25,57.5262,56.0462
82.5,82.5,42,1.5,57.6825,56.2025
82.75,82.75,42,1.75,57.8388,56.3588
83.0,83.0,42,2.0,57.995,56.535
83.25,83.25,42,2.25,58.2312,56.7512
83.5,83.5,42,2.5,58.3875,56.9075
83.75,83.75,42,2.75,58.5438,57.0638
84.0,84.0,43,1.0,58.7,57.22
84.25,84.25,43,1.25,58.9562,57.3762
84.5,84.5,43,1.5,59.1325,57.545
84.75,84.75,43,1.75,59.3176,57.7488
85.0,85.0,43,2.0,59.485,57.95
85.25,85.25,43,2.25,59.6412,58.1212
85.5,85.5,43,2.5,59.7975,58.2775
85.75,85.75,43,2.75,59.9538,58.4338
86.0,86.0,44,1.0,60.15,58.63
86.25,86.25,44,1.25,60.4262,58.8062
86.5,86.5,44,1.5,60.5825,58.9625
86.75,86.75,44,1.75,60.7388,59.1188
87.0,87.0,44,2.0,60.895,59.335
87.25,87.25,44,2.25,61.1624,59.5312
87.5,87.5,44,2.5,61.3275,59.6875
87.75,87.75,44,2.75,61.4838,59.8438
88.0,88.0,45,1.0,61.64,60.0
88.25,88.25,45,1.25,61.8562,60.1762
88.5,88.5,45,1.5,62.0125,60.3325
88.75,88.75,45,1.75,62.1688,60.4888
89.0,89.0,45,2.0,62.325,60.725
89.25,89.25,45,2.25,62.4812,60.8812
89.5,89.5,45,2.5,62.6375,61.0375
89.75,89.75,45,2.75,62.8138,61.1938
90.0,90.0,46,1.0,63.12,61.47
90.25,90.25,46,1.25,63.3462,61.6262
90.5,90.5,46,1.5,63.5025,61.7825
90.75,90.75,46,1.75,63.6588,61.9388
91.0,91.0,46,2.0,63.815,62.095
91.25,91.25,46,2.25,63.9712,62.416
91.5,91.5,46,2.5,64.1475,62.6475
91.75,91.75,46,2.75,64.3038,62.8038
92.0,92.0,47,1.0,64.46,62.96
92.25,92.25,47,1.25,64.6162,63.1162
92.5,92.5,47,1.5,64.8225,63.2725
92.75,92.75,47,1.75,65.0288,63.4288
93.0,93.0,47,2.0,65.185,63.585
93.25,93.25,47,2.25,65.3412,63.7412
93.5,93.5,47,2.5,65.4975,63.8975
93.75,93.75,47,2.75,65.6538,64.0938
94.0,94.0,48,1.0,65.91,64.29
94.25,94.25,48,1.25,66.0862,64.5262
94.5,94.5,48,1.5,66.2425,64.6825
94.75,94.75,48,1.75,66.4188,64.8388
95.0,95.0,48,2.0,66.575,64.995
95.25,95.25,48,2.25,66.8224,65.1912
95.5,95.5,48,2.5,66.9875,65.3475
95.75,95.75,48,2.75,67.1638,65.5238
96.0,96.0,49,1.0,67.32,65.68
96.25,96.25,49,1.25,67.5162,65.8962
96.5,96.5,49,1.5,67.6725,66.0525
96.75,96.75,49,1.75,67.8288,66.2688
97.0,97.0,49,2.0,67.99,66.425
97.25,97.25,49,2.25,68.1812,66.6024
97.5,97.5,49,2.5,68.3375,66.7775
97.75,97.75,49,2.75,68.4938,66.9538
98.0,98.0,50,1.0,68.73,67.2
98.25,98.25,50,1.25,68.9262,67.4062
98.5,98.5,50,1.5,69.0825,67.5625
98.75,98.75,50,1.75,69.2788,67.7188
99.0,99.0,50,2.0,69.45,67.875
99.25,99.25,50,2.25,69.7312,68.1512
99.5,99.5,50,2.5,69.8875,68.3075
99.75,99.75,50,2.75,70.0438,68.4638
100.0,100.0,51,1.0,70.2,68.62
100.25,100.25,51,1.25,70.3562,68.7762
100.5,100.5,51,1.5,70.5325,68.9325
100.75,100.75,51,1.75,70.7176,69.1088
101.0,101.0,51,2.0,70.885,69.285
101.25,101.25,51,2.25,71.0412,69.4412
101.5,101.5,51,2.5,71.1975,69.5975
101.75,101.75,51,2.75,71.4738,69.7538
102.0,102.0,52,1.0,71.63,69.99
102.25,102.25,52,1.25,71.8662,70.2462
102.5,102.5,52,1.5,72.0225,70.4025
102.75,102.75,52,1.75,72.1788,70.5588
103.0,103.0,52,2.0,72.335,70.715
103.25,103.25,52,2.25,72.5112,70.9112
103.5,103.5,52,2.5,72.715,71.1025
103.75,103.75,52,2.75,72.9438,71.2838
104.0,104.0,53,1.0,73.1,71.44
104.25,104.25,53,1.25,73.2562,71.5962
104.5,104.5,53,1.5,73.4525,71.7525
104.75,104.75,53,1.75,73.6528,71.9088
105.0,105.0,53,2.0,73.87,72.065
105.25,105.25,53,2.25,74.0412,72.3212
105.5,105.5,53,2.5,74.1975,72.4775
105.75,105.75,53,2.75,74.3538,72.6338
106.0,106.0,54,1.0,74.65,72.87
106.25,106.25,54,1.25,74.8062,73.0862
106.5,106.5,54,1.5,75.0225,73.2625
106.75,106.75,54,1.75,75.1788,73.4188
107.0,107.0,54,2.0,75.335,73.575
107.25,107.25,54,2.25,75.556,73.7512
107.5,107.5,54,2.5,75.7475,73.9675
107.75,107.75,54,2.75,75.9038,74.1238
108.0,108.0,55,1.0,76.06,74.28
108.25,108.25,55,1.25,76.2962,74.5962
108.5,108.5,55,1.5,76.5125,74.7525
108.75,108.75,55,1.75,76.6688,74.9088
109.0,109.0,55,2.0,76.83,75.07
109.25,109.25,55,2.25,77.0048,75.2412
109.5,109.5,55,2.5,77.2175,75.3975
109.75,109.75,55,2.75,77.3738,75.5538
110.0,110.0,56,1.0,77.53,75.73
110.25,110.25,56,1.25,77.8462,75.9662
110.5,110.5,56,1.5,78.0025,76.145
110.75,110.75,56,1.75,78.1588,76.3188
111.0,111.0,56,2.0,78.315,76.475
111.25,111.25,56,2.25,78.5112,76.6512
111.5,111.5,56,2.5,78.755,76.895
111.75,111.75,56,2.75,78.9438,77.1238
112.0,112.0,57,1.0,79.1,77.3
112.25,112.25,57,1.25,79.2962,77.4762
112.5,112.5,57,1.5,79.4925,77.6325
112.75,112.75,57,1.75,79.7088,77.7888
113.0,113.0,57,2.0,79.865,77.97
113.25,113.25,57,2.25,80.0648,78.2212
113.5,113.5,57,2.5,80.2775,78.3775
113.75,113.75,57,2.75,80.4338,78.5338
114.0,114.0,58,1.0,80.61,78.69
114.25,114.25,58,1.25,80.8172,78.902
114.5,114.5,58,1.5,81.0425,79.1825
114.75,114.75,58,1.75,81.1988,79.3588
115.0,115.0,58,2.0,81.355,79.515
115.25,115.25,58,2.25,81.6024,79.7112
115.5,115.5,58,2.5,81.7675,79.9475
115.75,115.75,58,2.75,81.9238,80.1638
116.0,116.0,59,1.0,82.12,80.36
116.25,116.25,59,1.25,82.3562,80.5362
116.5,116.5,59,1.5,82.5325,80.7525
116.75,116.75,59,1.75,82.7528,80.9088
117.0,117.0,59,2.0,82.97,81.135
117.25,117.25,59,2.25,83.1436,81.3836
117.5,117.5,59,2.5,83.3375,81.5775
117.75,117.75,59,2.75,83.4938,81.7338
118.0,118.0,60,1.0,83.65,81.91
118.25,118.25,60,1.25,83.9462,82.3262
118.5,118.5,60,1.5,84.1625,82.4825
118.75,118.75,60,1.75,84.3188,82.6388
119.0,119.0,60,2.0,84.495,82.835
119.25,119.25,60,2.25,84.7512,82.9912
119.5,119.5,60,2.5,84.9075,83.2075
119.75,119.75,60,2.75,85.0638,83.3638
120.0,120.0,61,1.0,85.22,83.52
120.25,120.25,61,1.25,85.4362,83.7962
120.5,120.5,61,1.5,85.645,83.9775
120.75,120.75,61,1.75,85.8088,84.1488
121.0,121.0,61,2.0,86.065,84.365
121.25,121.25,61,2.25,86.2212,84.5412
121.5,121.5,61,2.5,86.3775,84.735
121.75,121.75,61,2.75,86.5738,84.9076
122.0,122.0,62,1.0,86.81,85.16
122.25,122.25,62,1.25,86.9662,85.3462
122.5,122.5,62,1.5,87.1225,85.5825
122.75,122.75,62,1.75,87.2788,85.7388
123.0,123.0,62,2.0,87.495,85.99
123.25,123.25,62,2.25,87.7112,86.2112
123.5,123.5,62,2.5,87.9075,86.4275
123.75,123.75,62,2.75,88.2238,86.6038
124.0,124.0,63,1.0,88.38,86.76
124.25,124.25,63,1.25,88.5362,86.9562
124.5,124.5,63,1.5,88.6925,87.1125
124.75,124.75,63,1.75,88.9088,87.3064
125.0,125.0,63,2.0,89.065,87.545
125.25,125.25,63,2.25,89.2212,87.7024
125.5,125.5,63,2.5,89.3775,87.8775
125.75,125.75,63,2.75,89.5538,88.0338
126.0,126.0,64,1.0,89.85,88.26
126.25,126.25,64,1.25,90.0062,88.4662
126.5,126.5,64,1.5,90.1625,88.6425
126.75,126.75,64,1.75,90.3188,88.7988
127.0,127.0,64,2.0,90.575,88.985
127.25,127.25,64,2.25,90.7712,89.1712
127.5,127.5,64,2.5,90.9275,89.41
127.75,127.75,64,2.75,91.0838,89.6038
128.0,128.0,65,1.0,91.3,89.84
128.25,128.25,65,1.25,91.4962,89.9962
128.5,128.5,65,1.5,91.7525,90.1525
128.75,128.75,65,1.75,91.9088,90.3088
129.0,129.0,65,2.0,92.075,90.465
129.25,129.25,65,2.25,92.2612,90.7212
129.5,129.5,65,2.5,92.4175,90.8775
129.75,129.75,65,2.75,92.5738,91.0338
130.0,130.0,66,1.0,92.73,91.19
130.25,130.25,66,1.25,92.9634,91.4662
130.5,130.5,66,1.5,93.2025,91.63
131.0,131.0,66,2.0,93.515,92.015
131.25,131.25,66,2.25,93.8112,92.1912
131.5,131.5,66,2.5,94.035,92.3475
131.75,131.75,66,2.75,94.2038,92.5038
132.0,132.0,67,1.0,94.36,92.76
132.25,132.25,67,1.25,94.5162,92.9162
132.5,132.5,67,1.5,94.6725,93.0725
132.75,132.75,67,1.75,94.8288,93.3888
133.0,133.0,67,2.0,95.0,93.595
133.25,133.25,67,2.25,95.3224,93.8412
133.5,133.5,67,2.5,95.4975,93.9975
133.75,133.75,67,2.75,95.6738,94.1538
134.0,134.0,68,1.0,95.85,94.31
134.25,134.25,68,1.25,96.1262,94.4662
134.5,134.5,68,1.5,96.285,94.6225
135.0,135.0,68,2.0,96.615,94.935
135.5,135.5,68,2.5,96.9275,95.2675
136.0,136.0,69,1.0,97.24,95.68
136.5,136.5,69,1.5,97.8525,96.0125
137.0,137.0,69,2.0,98.185,96.325
137.5,137.5,69,2.5,98.5175,96.6375
138.0,138.0,70,1.0,98.85,96.95
138.5,138.5,70,1.5,99.165,97.4625
139.0,139.0,70,2.0,99.515,97.815
139.5,139.5,70,2.5,99.8475,98.17
140.0,140.0,71,1.0,100.3,98.54
140.5,140.5,71,1.3333,100.5283,98.9581
141.0,141.0,71,1.6667,100.7367,99.2367
141.5,141.5,71,2.0,101.01,99.465
142.0,142.0,71,2.3333,101.3933,99.6933
142.5,142.5,71,2.6667,101.6119,99.9017
